case_id,tick,side,enemy_cohesion_v2,enemy_cohesion_v1,collapse_threshold_theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability,N_alive_enemy,LCC_ratio_enemy,Q50_dist_enemy,Q90_dist_enemy,IQR_dist_enemy,lambda1_enemy,lambda2_enemy
FR8_MB5_PD5,20,A,0.12220894868470822,1.0,0.4444444444444444,0.7250298654594065,True,0.43000000000000005,0.3844531054423347,0.0,0.6516891462620291,0.8777910513152918,100,0.57,7.671488951254414,12.462883037966066,4.984777036657814,53.629047612727256,18.679579359143666
FR8_MB5_PD5,20,B,0.2008039986689345,1.0,0.4444444444444444,0.5481910029948973,True,0.43000000000000005,0.3404359567769608,0.0,0.4658779225720876,0.7991960013310655,100,0.57,7.6520228504803605,11.601637368054252,4.7630070409974765,41.68705918521643,22.265978653868668
FR8_MB5_PD8,0,A,0.004912299060015335,1.0,0.7777777777777778,0.9936841869228374,True,0.96,0.39240946658945597,0.0,0.7978778967950073,0.9950877009399847,100,0.04,8.363013810822022,13.764226647639687,5.902642719522947,72.92104501388701,14.738954986112986
FR8_MB5_PD8,0,B,0.04052646724512632,1.0,0.7777777777777778,0.9478945421134091,True,0.6699999999999999,0.39240946658945464,0.0,0.7978778967950074,0.9594735327548737,100,0.33,8.363013810822027,13.764226647639667,5.902642719522941,72.921045013887,14.738954986112976
FR8_MB5_PD8,1,A,0.03055150033111642,1.0,0.7777777777777778,0.9607194995742789,True,0.75,0.40342405827882477,0.0,0.7951543252450134,0.9694484996688836,100,0.25,8.25894685169083,13.843915374569121,5.771182262343412,71.86209775788063,14.72063990452207
FR8_MB5_PD8,1,B,0.11475605057311322,1.0,0.7777777777777778,0.8524565064059972,True,0.07999999999999996,0.4081016910185177,0.0,0.7892630614300787,0.8852439494268868,100,0.92,8.199860517539207,13.853495428378968,5.71172924434298,69.62343306837226,14.672229137556798
FR8_MB5_PD8,2,A,0.08312741339284924,1.0,0.7777777777777778,0.8931218970663367,True,0.31999999999999995,0.4170375389512365,0.0,0.7903017701242189,0.9168725866071508,100,0.68,8.019162099677247,13.755880756458284,6.036985738949877,70.09397740993505,14.698582987816579
FR8_MB5_PD8,2,B,0.10291220280067792,1.0,0.7777777777777778,0.8676843106848426,True,0.18000000000000005,0.4162276591986487,0.0,0.7850143325221419,0.8970877971993221,100,0.82,7.9085739674163165,13.547359843327147,5.9345980624652555,67.95630062824074,14.609630649888537
FR8_MB5_PD8,3,A,0.08089849861656451,1.0,0.7777777777777778,0.8959876446358457,True,0.33999999999999997,0.42284478585117724,0.0,0.787624750244803,0.9191015013834355,100,0.66,7.923869368259782,13.729182677395976,5.950828776360847,69.2182986013209,14.700253453085534
FR8_MB5_PD8,3,B,0.10571821326965036,1.0,0.7777777777777778,0.864076582939021,True,0.18000000000000005,0.4178408494821244,0.0,0.7785405413379597,0.8942817867303496,100,0.82,7.803062426923636,13.403658466904124,5.666656340432996,65.69973099868255,14.549826861210128
FR8_MB5_PD8,4,A,0.07065082570793801,1.0,0.7777777777777778,0.909163224089794,True,0.43999999999999995,0.4148884506016812,0.0,0.7843792540176143,0.929349174292062,100,0.56,8.025498812707305,13.716185949433193,6.0469100526233355,68.6136650911297,14.794529651535175
FR8_MB5_PD8,4,B,0.09065725638693622,1.0,0.7777777777777778,0.8834406703596535,True,0.32999999999999996,0.4124394693030754,0.0,0.7697099603840736,0.9093427436130638,100,0.67,7.736573294800489,13.16727875785817,5.591123615184146,63.70813667318069,14.671349318323866
FR8_MB5_PD8,5,A,0.07016969535015416,1.0,0.7777777777777778,0.9097818202640875,True,0.43999999999999995,0.42656324289674763,0.0,0.7814876255160819,0.9298303046498458,100,0.56,7.911866554753411,13.797278351533732,6.110261492965417,68.05161126869785,14.870119165779947
FR8_MB5_PD8,5,B,0.11550079896425491,1.0,0.7777777777777778,0.8514989727602437,True,0.18999999999999995,0.40765415959171103,0.0,0.7592730981787097,0.8844992010357451,100,0.81,7.724617188175265,13.040721587327907,5.576350880766091,61.79653812759458,14.876089166737323
FR8_MB5_PD8,6,A,0.08086741571870659,1.0,0.7777777777777778,0.896027608361663,True,0.38,0.4158431436314921,0.0,0.7767186770926945,0.9191325842812934,100,0.62,7.966429596911016,13.63748368278416,5.944518553577971,66.94385188056991,14.947311808404582
FR8_MB5_PD8,6,B,0.09553053817839596,1.0,0.7777777777777778,0.8771750223420623,True,0.35,0.4170428176832903,0.0,0.7478887589103453,0.904469461821604,100,0.65,7.521195297330146,12.901797122460055,5.588051759616278,60.11082616137278,15.154614986468424
