tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
67,B,0.11768398278310765,1.0,0.4444444444444444,0.7352110387380077,True,0.28,0.4192794021210745,0.03,0.7098344184746841,0.8823160172168923
68,A,0.08020842280877849,1.0,0.4444444444444444,0.8195310486802484,True,0.75,0.33459904546648844,0.0,0.517834038185234,0.9197915771912215
68,B,0.12256967347051928,1.0,0.4444444444444444,0.7242182346913316,True,0.25,0.4101236188409384,0.03,0.7143797307369186,0.8774303265294807
69,A,0.0929839533754091,1.0,0.4444444444444444,0.7907861049053295,True,0.7,0.34638943200411476,0.0,0.5257932989031555,0.9070160466245909
69,B,0.11940792652679177,1.0,0.4444444444444444,0.7313321653147185,True,0.27,0.4074167122457777,0.03,0.7154299675000435,0.8805920734732082
70,A,0.10055755413934742,1.0,0.4444444444444444,0.7737455031864683,True,0.6699999999999999,0.3381205007187347,0.0,0.539614293297767,0.8994424458606526
70,B,0.08208504538448946,1.0,0.4444444444444444,0.8153086478848987,True,0.49,0.40559921760586826,0.03,0.7208467040736073,0.9179149546155105
71,A,0.10678869651455969,1.0,0.4444444444444444,0.7597254328422407,True,0.64,0.34378999125873955,0.0,0.5479568062897976,0.8932113034854403
71,B,0.10224469784044932,1.0,0.4444444444444444,0.7699494298589891,True,0.33999999999999997,0.411924605974083,0.03,0.7284235432638675,0.8977553021595507
72,A,0.10271428327275911,1.0,0.4444444444444444,0.768892862636292,True,0.65,0.3423833673136094,0.0,0.5537378980509093,0.8972857167272409
72,B,0.09622029500940377,1.0,0.4444444444444444,0.7835043362288415,True,0.36,0.41924408114292244,0.03,0.7331167416864136,0.9037797049905962
73,A,0.06797795750190683,1.0,0.4444444444444444,0.8470495956207096,True,0.76,0.35538214640929644,0.0,0.5606055773765137,0.9320220424980932
73,B,0.10724348526264771,1.0,0.4444444444444444,0.7587021581590426,True,0.26,0.42555792226644107,0.03,0.7399114573791001,0.8927565147373523
74,A,0.08895335474431831,1.0,0.4444444444444444,0.7998549518252838,True,0.6799999999999999,0.35123113867179645,0.0,0.5715280893615997,0.9110466452556817
74,B,0.09677679783631343,1.0,0.4444444444444444,0.7822522048682947,True,0.32999999999999996,0.4203105347921541,0.03,0.7431205852452127,0.9032232021636866
75,A,0.10769077852937137,1.0,0.4444444444444444,0.7576957483089144,True,0.6,0.3574263860883755,0.0,0.5810177378985,0.8923092214706286
75,B,0.10279804655859781,1.0,0.4444444444444444,0.7687043952431549,True,0.26,0.4326311315533745,0.03,0.747584566470234,0.8972019534414022
76,A,0.10303524609327819,1.0,0.4444444444444444,0.768170696290124,True,0.62,0.34285616134274344,0.0,0.5873880747173599,0.8969647539067218
76,B,0.08687351988376157,1.0,0.4444444444444444,0.8045345802615365,True,0.35,0.43827590522391224,0.03,0.7547103212852513,0.9131264801162384
77,A,0.07236517867016579,1.0,0.4444444444444444,0.837178347992127,True,0.73,0.34722276559703924,0.0,0.5894170842140241,0.9276348213298342
77,B,0.08361283829777766,1.0,0.4444444444444444,0.8118711138300002,True,0.37,0.4245414704852385,0.03,0.7622356976115505,0.9163871617022223
78,A,0.08996702760493058,1.0,0.4444444444444444,0.7975741878889062,True,0.6599999999999999,0.3503889493885729,0.0,0.5926656351191553,0.9100329723950694
