tick,side,split_separation,angle_coverage,split_cond,env_cond,in_contact_count,sustain_split_geom,sustain_split_tactical,sustain_env_geom,sustain_env_tactical,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
41,B,1.694847024926359,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
42,A,1.6991747757560514,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
42,B,1.6860800488816587,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
43,A,1.695925839738236,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
43,B,1.6912348701325792,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
44,A,1.6965098860946917,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
44,B,1.6931975566435085,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
45,A,1.6902154279837522,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
45,B,1.6938316856810678,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
46,A,1.6951220428986777,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
46,B,1.6908012506984909,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
47,A,1.6975790184021589,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
47,B,1.6900142581531945,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
48,A,1.699860316053075,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
48,B,1.6889283884514055,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
49,A,1.701084220001117,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
49,B,1.690372483306084,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
50,A,1.6974096020895655,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
50,B,1.6988228339182918,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
51,A,1.6967619444449196,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
51,B,1.7013117243661602,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
52,A,1.6939951899182388,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
52,B,1.6952453513644452,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
53,A,1.6963141547269631,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
53,B,1.6900846459041075,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
54,A,1.6898761694431932,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
54,B,1.6442792332597684,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
55,A,1.6682002981018005,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
55,B,1.649362746059149,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
56,A,1.6550452198878085,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
56,B,1.6705009374089308,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
57,A,1.666829367229429,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
57,B,1.693406161361548,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
58,A,1.677920200528747,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
58,B,1.698751044189851,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
59,A,1.6900468918450327,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
59,B,1.711565964424273,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
60,A,1.6963961225544175,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
60,B,1.7142778197609239,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
61,A,1.7094839332964997,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
61,B,1.7329673618715533,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
62,A,1.7104454378740956,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
62,B,1.7333683009485943,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
63,A,1.712856313557303,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
63,B,1.7328336263660418,0.08333333333333333,1,0,0,3,0,0,0,0,0,0,0
64,A,1.712514687533115,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
64,B,1.719594570589767,0.08333333333333333,1,0,0,4,0,0,0,0,0,0,0
65,A,1.7127305535822037,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
65,B,1.7249108264268167,0.08333333333333333,1,0,0,5,0,0,0,0,0,0,0
66,A,1.7152443199526,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
66,B,1.7141067650264739,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
67,A,1.7196674273528494,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
67,B,1.714002991926624,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
68,A,1.720976384455704,0.08333333333333333,1,0,0,3,0,0,0,0,0,0,0
68,B,1.7190291769169124,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
69,A,1.7198168857870806,0.08333333333333333,1,0,0,4,0,0,0,0,0,0,0
69,B,1.711764404526526,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
70,A,1.717777482823153,0.08333333333333333,1,0,0,5,0,0,0,0,0,0,0
