tick,side,split_separation,angle_coverage,split_cond,env_cond,sustain_split_geom,sustain_env_geom,sustain_split_tactical,sustain_env_tactical,in_contact_count,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
41,A,1.6874679497066993,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
41,B,1.6819074144163457,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
42,A,1.6914536480090523,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
42,B,1.6902219713669724,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
43,A,1.6851902549792848,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
43,B,1.6897241281702333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
44,A,1.6847171360772117,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
44,B,1.6938263593952223,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
45,A,1.6900582945520615,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
45,B,1.6999487067657446,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
46,A,1.6860355186112908,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
46,B,1.6992914535133594,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
47,A,1.6737548888065357,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
47,B,1.6954264963655603,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
48,A,1.6649122622266965,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
48,B,1.6893421928049623,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
49,A,1.650564440168489,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
49,B,1.6527590053973245,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
50,A,1.656043513791558,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
50,B,1.6538618850322109,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
51,A,1.6685861985892663,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
51,B,1.688900376883162,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
52,A,1.670678651743143,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
52,B,1.7124190799786392,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
53,A,1.6824828370585787,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
53,B,1.7067370872497678,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
54,A,1.688505225229101,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
54,B,1.71259532432369,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
55,A,1.7022889586307515,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
55,B,1.7095843840528557,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
56,A,1.7099372969760611,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
56,B,1.7222252752515212,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0
57,A,1.7118802392511685,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
57,B,1.7218773794375952,0.08333333333333333,1,0,2,0,0,0,0,0,0,0,0
58,A,1.705475686632103,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
58,B,1.723601441620211,0.08333333333333333,1,0,3,0,0,0,0,0,0,0,0
59,A,1.6995878411474692,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
59,B,1.726882340924931,0.08333333333333333,1,0,4,0,0,0,0,0,0,0,0
60,A,1.722658973722142,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0
60,B,1.72801941703491,0.08333333333333333,1,0,5,0,0,0,0,0,0,0,0
61,A,1.7115673256398942,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
61,B,1.729482236226513,0.08333333333333333,1,0,6,0,0,0,0,0,0,0,0
62,A,1.7111676866519763,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
62,B,1.746354633256745,0.08333333333333333,1,0,7,0,0,0,0,0,0,0,0
63,A,1.7109854182625561,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
63,B,1.7374257646210587,0.08333333333333333,1,0,8,0,0,0,0,0,0,0,0
64,A,1.7258891055559042,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0
64,B,1.7399619042262873,0.08333333333333333,1,0,9,0,0,0,0,0,0,0,0
65,A,1.7267553649853384,0.08333333333333333,1,0,2,0,0,0,0,0,0,0,0
65,B,1.7386204043780777,0.08333333333333333,1,0,10,0,0,0,0,0,0,0,0
66,A,1.727616725717253,0.08333333333333333,1,0,3,0,0,0,0,0,0,0,0
66,B,1.7382315367420889,0.08333333333333333,1,0,11,0,0,0,0,0,0,0,0
67,A,1.7212267006374178,0.08333333333333333,1,0,4,0,0,0,0,0,0,0,0
67,B,1.7387664103745384,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0
68,A,1.723917727735889,0.08333333333333333,1,0,5,0,0,0,0,0,0,0,0
68,B,1.7447601489947921,0.08333333333333333,1,0,13,0,0,0,0,0,0,0,0
69,A,1.7325105931282534,0.08333333333333333,1,0,6,0,0,0,0,0,0,0,0
