case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,22,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9914642256,3.2000000000,3.1863427609,100,100,1.0000000000,8.8685154506,20.0000000000,19.9146422557,0.4434257725,0.4453263753,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,23,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9806003365,3.2000000000,3.1689605383,100,100,1.0000000000,8.8089310277,20.0000000000,19.8060033646,0.4404465514,0.4447606549,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,23,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9984152557,3.2000000000,3.1974644092,100,100,1.0000000000,8.8530026920,20.0000000000,19.9841525573,0.4426501346,0.4430011564,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,24,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9917600407,3.2000000000,3.1868160651,100,100,1.0000000000,8.8067290867,20.0000000000,19.9176004066,0.4403364543,0.4421581369,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,24,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9773828395,3.2000000000,3.1638125431,100,100,1.0000000000,8.8474732868,20.0000000000,19.7738283945,0.4423736643,0.4474335020,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,25,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,8.7800067234,20.0000000000,20.0000000000,0.4390003362,0.4390003362,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,25,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9856238338,3.2000000000,3.1769981340,100,100,1.0000000000,8.8269580243,20.0000000000,19.8562383378,0.4413479012,0.4445433155,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,26,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9936204545,3.2000000000,3.1897927271,100,100,1.0000000000,8.7513934493,20.0000000000,19.9362045447,0.4375696725,0.4389698867,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,26,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9827242505,3.2000000000,3.1723588008,100,100,1.0000000000,8.8174377852,20.0000000000,19.8272425047,0.4408718893,0.4447132668,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,27,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9771642615,3.2000000000,3.1634628184,100,100,1.0000000000,8.7313673594,20.0000000000,19.7716426148,0.4365683680,0.4416106203,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
