tick,cohesion_v1_A,cohesion_v2_A,cohesion_v1_B,cohesion_v2_B
81,1.0,0.07509854531959681,1.0,0.0969900682482987
82,1.0,0.07236716604694304,1.0,0.08160836721185027
83,1.0,0.0728181589535788,1.0,0.09322306428867588
84,1.0,0.07281579905691216,1.0,0.09188128967375442
85,1.0,0.07117983439376907,1.0,0.08897410744531054
86,1.0,0.06876328466972914,1.0,0.09654402486932145
87,1.0,0.06768586994590586,1.0,0.09828129501628313
88,1.0,0.06825092564518376,1.0,0.09985178794862914
89,1.0,0.06622788685893377,1.0,0.08027876248349608
90,1.0,0.06254206452216704,1.0,0.09086802696026097
91,1.0,0.06641552958918762,1.0,0.08465244730998189
92,1.0,0.06686243922728363,1.0,0.091636074393743
93,1.0,0.066410423161684,1.0,0.08120858557384081
94,1.0,0.06911110204815596,1.0,0.08732570230405345
95,1.0,0.06704025104230882,1.0,0.08004971987095022
96,1.0,0.06771379604411165,1.0,0.08357757037483071
97,1.0,0.0663438592504797,1.0,0.07550723118722125
98,1.0,0.06696967401869369,1.0,0.07762977792622783
99,1.0,0.06579041587230139,1.0,0.08213337848757163
100,1.0,0.06379968831442906,1.0,0.08230306256920972
101,1.0,0.06389883795351914,1.0,0.08148497177314651
102,1.0,0.06463243913629402,1.0,0.0857363047643882
103,1.0,0.06166895009601492,1.0,0.08621576363749339
104,1.0,0.06506095066702333,1.0,0.08506896848812406
105,1.0,0.06609152873172941,1.0,0.06902742456972732
106,1.0,0.06720789659747384,1.0,0.0789722866620266
107,1.0,0.06827932799562819,1.0,0.07839384616109146
108,1.0,0.06911024918034248,1.0,0.08150962727166478
109,1.0,0.06838044233740592,1.0,0.07769946309951026
110,1.0,0.07154867432224399,1.0,0.07707798220782813
111,1.0,0.07021924221064435,1.0,0.07886958114885056
112,1.0,0.07064258759044739,1.0,0.07661859314037978
113,1.0,0.07040040840867456,1.0,0.08591965335524687
114,1.0,0.07199432477940615,1.0,0.07555902299738915
115,1.0,0.07397515533956545,1.0,0.08307382187059176
116,1.0,0.09839601939392417,1.0,0.08217172218983892
117,1.0,0.09769632079371404,1.0,0.08391209872247618
118,1.0,0.09754917656039175,1.0,0.08344027546796806
119,1.0,0.09575613101183389,1.0,0.08692462286119207
120,1.0,0.09162005757311897,1.0,0.08004962110574387
121,1.0,0.09586695177141791,1.0,0.08791137718943653
122,1.0,0.13457630792981,1.0,0.09778794089084619
123,1.0,0.1405025175484671,1.0,0.09330401361561558
124,1.0,0.12994418809189467,1.0,0.09320196259847036
125,1.0,0.13109591284394573,1.0,0.09352961098567802
126,1.0,0.15495265100151756,1.0,0.1002528301270097
127,1.0,0.15487858353952821,1.0,0.09779504215411727
128,1.0,0.16457469757752097,1.0,0.09182750406029794
129,1.0,0.1640791723239744,1.0,0.09400146555240341
130,1.0,0.17628035791272767,1.0,0.10045241639770719
131,1.0,0.229317685874882,1.0,0.10292671796953579
132,1.0,0.24652659941253163,1.0,0.10433364354428287
133,1.0,0.23473503823002773,1.0,0.10345948874694433
134,1.0,0.2421710703430342,1.0,0.10362543958825499
135,1.0,0.24335681952374832,1.0,0.10812978274721341
136,1.0,0.24657174616826782,1.0,0.1091816173700283
137,1.0,0.24814587069685212,1.0,0.11020439847493024
138,1.0,0.2671075383234218,1.0,0.11444801110958658
139,1.0,0.2395117161141853,1.0,0.11923850226442001
140,1.0,0.2600768717627582,1.0,0.11526079506009668
141,1.0,0.2401044381056615,1.0,0.11735075995352418
142,1.0,0.2135648118521385,1.0,0.13156378752448594
143,1.0,0.2647506287358018,1.0,0.1395345041643724
144,1.0,0.23948479051997107,1.0,0.1296412329561154
145,1.0,0.2731566696064025,1.0,0.13439211533319506
146,1.0,0.2736264959012781,1.0,0.13508362917243144
147,1.0,0.2732591959951972,1.0,0.13998877047950398
148,1.0,0.22687143674479882,1.0,0.15034903853318438
149,1.0,0.20630307657286595,1.0,0.12529018937774794
150,1.0,0.23619537387235456,1.0,0.16951891675202468
151,1.0,0.23833166938771444,1.0,0.1720373934420829
152,1.0,0.24909207672629763,1.0,0.1840555397403072
153,1.0,0.26004395401074354,1.0,0.17912031140559492
