tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
17,A,0.5400000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
17,B,0.6400000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
18,A,0.5800000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
18,B,0.5600000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
19,A,0.5700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
19,B,0.5900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
20,A,0.7000000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
20,B,0.6600000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
21,A,0.7100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
21,B,0.6700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
22,A,0.7200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
22,B,0.6600000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
23,A,0.6800000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
23,B,0.6300000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
24,A,0.6800000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
24,B,0.7300000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
25,A,0.7300000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
25,B,0.6800000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
26,A,0.7400000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
26,B,0.6400000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
