runtime_decision_source_effective,semantic_connectivity_multiplier,cell_FR,cell_MB,cell_PD,runs,first_contact_tick_mean,cut_tick_mean,pocket_tick_mean,first_deep_pursuit_tick_A_mean,pct_ticks_deep_pursuit_A_mean,mean_enemy_collapse_signal_A_mean,A_v2_mean_mean,A_fragmentation_mean_mean,A_v3_mean_mean,A_c_conn_mean_mean,anomaly_count
v3_test,1.1,2,8,5,1,110.0,129.0,136.0,301.0,3.3185840707964602,0.23629867655547948,0.0234167026826014,0.8473999999999998,0.7938999999999997,0.7938999999999997,0
v3_test,1.1,5,2,5,1,107.0,126.0,164.0,252.0,14.567901234567902,0.293676012364278,0.07691089843944557,0.7262000000000002,0.8568000000000001,0.8568000000000001,0
v3_test,1.1,5,5,5,1,107.0,126.0,172.0,372.0,4.979253112033195,0.2608928700822345,0.0879290198370846,0.6864,0.8583,0.8583,0
v3_test,1.1,5,8,5,1,108.0,127.0,171.0,173.0,18.26923076923077,0.335735714750101,0.09565526088100387,0.6793,0.8292999999999998,0.8292999999999998,0
v3_test,1.1,8,2,5,1,106.0,125.0,166.0,152.0,2.460850111856823,0.2235865760395218,0.15134573656422567,0.4523000000000001,0.9089999999999998,0.9089999999999998,0
v3_test,1.1,8,5,5,1,106.0,125.0,136.0,252.0,17.44421906693712,0.33729450604197914,0.1424067438030274,0.47059999999999996,0.8792999999999996,0.8792999999999996,0
v3_test,1.1,8,8,5,1,106.0,125.0,182.0,199.0,7.708333333333333,0.26855676530220823,0.1618506921808423,0.4446,0.8667999999999999,0.8667999999999999,0
v3_test,1.2,2,2,5,1,110.0,129.0,136.0,418.0,2.34192037470726,0.11541150640353826,0.023486866861826054,0.8255000000000001,0.9993000000000001,0.9993000000000001,0
v3_test,1.2,2,5,5,1,110.0,129.0,136.0,462.0,2.217741935483871,0.15927268369389308,0.0247118439034978,0.8266,0.9973999999999994,0.9973999999999994,0
v3_test,1.2,2,8,5,1,110.0,129.0,136.0,339.0,4.662004662004662,0.18904191736846113,0.024058872989404713,0.8445999999999995,0.9926999999999998,0.9926999999999998,0
v3_test,1.2,5,2,5,1,107.0,126.0,144.0,396.0,3.2537960954446854,0.16951126945689773,0.07691089843944557,0.7262000000000002,0.9623000000000006,0.9623000000000006,0
v3_test,1.2,5,5,5,1,107.0,126.0,198.0,310.0,6.962025316455696,0.20834059141818315,0.09715508392178705,0.6690000000000004,0.9603000000000003,0.9603000000000003,0
v3_test,1.2,5,8,5,1,108.0,127.0,219.0,375.0,0.7905138339920948,0.12270027711486492,0.10039902159983745,0.6685000000000002,0.9587999999999997,0.9587999999999997,0
v3_test,1.2,8,2,5,1,106.0,125.0,166.0,nan,0.0,0.1194829181167068,0.15134573656422567,0.4523000000000001,0.9813744002112804,0.9813999999999997,0
v3_test,1.2,8,5,5,1,106.0,125.0,136.0,352.0,1.016260162601626,0.12220617102880087,0.1424067438030274,0.47059999999999996,0.9672603840126845,0.9672999999999997,0
v3_test,1.2,8,8,5,1,106.0,125.0,182.0,493.0,0.1976284584980237,0.14176722533226865,0.1618506921808423,0.4446,0.9531264864907772,0.9531999999999993,0
v3_test,1.3,2,2,5,1,110.0,129.0,136.0,412.0,2.375296912114014,0.09150701979925895,0.023486866861826054,0.8255000000000001,0.9998998120888558,0.9999000000000001,0
v3_test,1.3,2,5,5,1,110.0,129.0,136.0,425.0,2.304147465437788,0.1172443789548918,0.0247118439034978,0.8266,0.9989967228144662,0.9989999999999997,0
v3_test,1.3,2,8,5,1,110.0,129.0,136.0,nan,0.0,0.06088961911032295,0.024058872989404713,0.8445999999999995,0.9984780661852561,0.9984999999999994,0
v3_test,1.3,5,2,5,1,107.0,126.0,144.0,404.0,2.380952380952381,0.11948315043363794,0.07691089843944557,0.7262000000000002,0.9916009147997858,0.9930999999999993,0
v3_test,1.3,5,5,5,1,107.0,126.0,198.0,396.0,2.355460385438972,0.13670289497912433,0.09715508392178705,0.6690000000000004,0.9921980628551897,0.9935999999999992,0
v3_test,1.3,5,8,5,1,108.0,127.0,219.0,483.0,1.8581081081081081,0.16174595086916874,0.10039902159983745,0.6685000000000002,0.9952544593885075,0.9964999999999992,0
v3_test,1.3,8,2,5,1,106.0,125.0,166.0,nan,0.0,0.06045692358211603,0.15134573656422567,0.4523000000000001,0.9928027679537874,0.9954999999999998,0
v3_test,1.3,8,5,5,1,106.0,125.0,136.0,nan,0.0,0.067871991830109,0.1424067438030274,0.47059999999999996,0.9931518935030532,0.9959999999999993,0
v3_test,1.3,8,8,5,1,106.0,125.0,182.0,437.0,0.4065040650406504,0.08720378998562571,0.1618506921808423,0.4446,0.9828389849808081,0.9857999999999995,0
v3_test,1.4,2,2,5,1,110.0,129.0,136.0,417.0,2.4774774774774775,0.061048755678839814,0.023486866861826054,0.8255000000000001,0.9979746289135957,1.0,0
v3_test,1.4,2,5,5,1,110.0,129.0,136.0,nan,0.0,0.03577995987170851,0.0247118439034978,0.8266,0.9979212685853072,1.0,0
v3_test,1.4,2,8,5,1,110.0,129.0,136.0,nan,0.0,0.032766810226022194,0.024058872989404713,0.8445999999999995,0.9973546399916482,0.9997999999999999,0
v3_test,1.4,5,2,5,1,107.0,126.0,144.0,404.0,2.386117136659436,0.09202079179227007,0.07691089843944557,0.7262000000000002,0.9895745724283331,0.9985999999999993,0
v3_test,1.4,5,5,5,1,107.0,126.0,198.0,455.0,2.1551724137931036,0.07225626164135004,0.09715508392178705,0.6690000000000004,0.9910892834590238,0.9998999999999999,0
v3_test,1.4,5,8,5,1,108.0,127.0,219.0,nan,0.0,0.040911397070528356,0.10039902159983745,0.6685000000000002,0.9915100289980586,0.9998999999999999,0
v3_test,1.4,8,2,5,1,106.0,125.0,166.0,nan,0.0,0.04136697239325212,0.15134573656422567,0.4523000000000001,0.9886110032735326,0.9998,0
v3_test,1.4,8,5,5,1,106.0,125.0,136.0,nan,0.0,0.030563864988767845,0.1424067438030274,0.47059999999999996,0.9884445019053344,0.9997999999999999,0
v3_test,1.4,8,8,5,1,106.0,125.0,182.0,nan,0.0,0.03729124433696119,0.1618506921808423,0.4446,0.9850885195692795,0.9965999999999995,0
v3_test,1.5,2,2,5,1,110.0,129.0,136.0,410.0,2.386634844868735,0.04875142209059104,0.023486866861826054,0.8255000000000001,0.9903384816798102,1.0,0
v3_test,1.5,2,5,5,1,110.0,129.0,136.0,583.0,1.6891891891891893,0.09319028465687093,0.0247118439034978,0.8266,0.9902990586107504,1.0,0
v3_test,1.5,2,8,5,1,110.0,129.0,136.0,nan,0.0,0.02886185352214184,0.024058872989404713,0.8445999999999995,0.9897481385955745,1.0,0
v3_test,1.5,5,2,5,1,107.0,126.0,144.0,450.0,2.178649237472767,0.06350755158923471,0.07691089843944557,0.7262000000000002,0.9790127644641258,1.0,0
v3_test,1.5,5,5,5,1,107.0,126.0,198.0,446.0,2.197802197802198,0.053263959786184006,0.09715508392178705,0.6690000000000004,0.979335513090319,1.0,0
v3_test,1.5,5,8,5,1,108.0,127.0,219.0,nan,0.0,0.045933032739680454,0.10039902159983745,0.6685000000000002,0.9799388487473466,1.0,0
