seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,runtime_decision_source_requested_v2,runtime_decision_source_effective_v2,runtime_decision_source_requested_v3_test,runtime_decision_source_effective_v3_test,effective_source_match_pair,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,observable_runtime_difference
SP01,2,8,2,mittermeyer,v2,v2,v3_test,v3_test,True,0.1367649565954286,0.17052780572295276,0.8093196865166771,0.6448857856073078,True,True,0.0,0.0,-0.15118966478192675,-0.1315486209685065,-56.26241416491686,-0.7462686567164241,True
SP01,2,8,2,muller,v2,v2,v3_test,v3_test,True,0.1318335494313899,0.19174258687218285,0.8093196865166771,0.6461544416714531,True,True,0.0,0.0,-0.29564313964447075,-0.1255114497998524,-40.734376988672516,-9.484536082474222,True
SP01,2,8,2,reinhard,v2,v2,v3_test,v3_test,True,0.1213134773236843,0.20459607678478509,0.8093196865166771,0.6542579232620586,True,True,0.0,0.0,-0.20385925776850722,-0.11503989520177571,-34.73194833488951,-0.42016806722689637,True
SP01,2,8,2,reuenthal,v2,v2,v3_test,v3_test,True,0.17800026477875333,0.17263843050187716,0.8093196865166771,0.5434044860214094,True,True,0.0,0.0,-0.1517453654498212,-0.11790136109680671,-65.09355553211688,-7.904651408079317,True
SP01,2,8,5,bittenfeld,v2,v2,v3_test,v3_test,True,0.14834658607382178,0.24004425242527094,0.6861537581778918,1.0,True,True,0.0,0.0,-0.20729652152676603,-0.10226555588131891,-33.31902103907257,-0.24330900243309372,True
SP01,2,8,5,kircheis,v2,v2,v3_test,v3_test,True,0.11777709376280138,0.1980373064476553,0.6861537581778918,0.9939627763186007,True,True,0.0,0.0,-0.22746208962590664,-0.09249653693566473,-35.46810924003142,-2.0547945205479436,True
SP01,2,8,5,mittermeyer,v2,v2,v3_test,v3_test,True,0.11302595428191808,0.15834111407407006,0.6861537581778918,0.5556870144925656,True,True,0.0,0.0,-0.17131150072462975,-0.11531632758960031,-15.09111382300749,-0.4728132387706836,True
SP01,2,8,5,muller,v2,v2,v3_test,v3_test,True,0.12018928621591363,0.2665749093803189,0.6861537581778918,0.9412742327959253,True,True,0.0,0.0,-0.279464525602207,-0.1009801636323453,-57.332454984628896,-2.9626701800614796,True
SP01,2,8,5,reinhard,v2,v2,v3_test,v3_test,True,0.16816536672186488,0.1746289422450417,0.6896389001778244,0.587790723661571,True,True,0.0,0.0,-0.2450757553739331,-0.0824809503487709,-37.04648526077098,0.9049680478251929,True
SP01,2,8,5,reuenthal,v2,v2,v3_test,v3_test,True,0.17651137946431672,0.14756477545135624,0.6861537581778918,0.5220366076383716,True,True,0.0,0.0,-0.1300992140246422,-0.1030154338489625,-5.329094080501648,-5.662052063323841,True
SP01,2,8,8,bittenfeld,v2,v2,v3_test,v3_test,True,0.12208888441688855,0.21745763200749388,0.686152537100199,1.0,True,True,0.0,0.0,-0.1932038068398777,-0.11052298415433182,-0.19334776280526,-0.25188916876574297,True
