seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,8,5,reuenthal,0.0,0.0,0.0,0.0,0.0,0.0,-5.329094080501648,-5.662052063323841,-0.28346247020890836,-0.3229733664272608,-0.1300992140246422,-0.1030154338489625,-0.03232027543337812,-0.04272078113512978,0.0,-0.015239830073954241,-0.025301604636124964,-0.004213147940277606,-2.3890456466779675e-05,-0.0019486916465232262,0.006212116185615901,False,False,False,False,False,False,True
SP01,2,8,8,bittenfeld,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.19334776280526,-0.25188916876574297,-0.24979025324573823,-0.12425019596455589,-0.1932038068398777,-0.11052298415433182,-0.040129081273763134,-0.05032005674890805,0.0,-0.027368130481326247,-0.0922848604467128,-0.010476668514349141,0.0025016699416138266,0.0006168252671052699,-0.0001891744955624386,False,False,False,False,False,False,True
SP01,2,8,8,kircheis,0.0,-1.0,0.0,0.0,0.0,0.0,1.044806108097248,-3.8864490944057053,-0.30991380007895675,-0.328051249564148,-0.23800587606072665,-0.14936628246300998,-0.05413813157113001,-0.03953301745646587,0.0,-0.02204788584213757,-0.10139455853966806,0.001957622368095935,-0.03777100009783907,-0.004097775135546655,0.014363123144964351,False,False,False,False,False,False,True
SP01,2,8,8,mittermeyer,0.0,0.0,0.0,0.0,0.0,0.0,1.3270838564480272,-0.228310502283108,-0.21223941170831495,-0.16583196854476134,-0.16162944300399507,-0.11113303230228988,-0.019752525159691614,-0.048680191471490164,0.0,-0.011047609253161284,-0.0809003735931606,-0.027912999529605242,0.005906093177673211,-0.0050273582354343205,-0.007879830004751565,False,False,False,False,False,False,True
SP01,2,8,8,muller,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.7996928444689644,-6.976605484068173,-0.3600616386215726,-0.37427699822810695,-0.2800196030976928,-0.13447457968308774,-0.08603828479659625,-0.050937115694409174,-1.0,-0.016932257228409853,-0.20799920746002187,-0.04112567357374908,-0.021196913349470825,-0.003560680081172052,0.0216987049840065,False,False,False,False,False,False,True
SP01,2,8,8,reinhard,0.0,-1.0,0.0,-1.0,0.0,0.0,1.3620229614942048,-0.8714596949891131,-0.2292460564583112,-0.17920351099940568,-0.17480891725622538,-0.12053578102096951,-0.024770572673110003,-0.038361479923385344,1.0,-0.024911110665595704,-0.09659270155517286,-0.022279785061660506,0.0029716407702929937,-0.007539415792575221,0.0012777265017418493,False,False,False,False,False,False,True
SP01,2,8,8,reuenthal,0.0,0.0,0.0,0.0,0.0,0.0,-0.9671179883945911,-5.656618628599446,-0.2255350167280089,-0.38721532817247045,-0.17563103923031664,-0.11357605574073615,-0.03076563263696952,-0.050000000000000044,0.0,-0.0030594213886883104,-0.03270537157832587,-0.05847505642261175,-0.0027170303695019937,-0.005246709059135046,-0.002659166293210058,False,False,False,False,False,False,True
SP01,5,2,2,bittenfeld,-2.0,-2.0,-2.0,0.0,0.0,0.0,-58.18359809549237,-0.6060606060606091,-0.31046162976023567,-0.29953476078822416,-0.21792708607783362,-0.26691298944955544,-0.09354367175736589,-0.08209454821769424,0.0,-0.06820827995541423,-0.12420142507276455,-0.2942767472594997,0.010288075547205677,0.0026083901985127778,0.007311486314426574,False,False,False,False,False,False,True
SP01,5,2,2,kircheis,-2.0,-2.0,-2.0,87.0,0.0,0.0,-56.022460816981365,-18.69369369369369,-0.26973947255824343,-0.4279593751562655,-0.2397550169801279,-0.20639955873980187,-0.06976289570737282,-0.08531480738682795,-87.0,-0.06433950138630973,-0.15717204346384683,-0.2941596387671629,-0.028072699788368016,0.005508158096574123,0.026184215217416984,False,False,False,False,False,False,True
SP01,5,2,2,mittermeyer,-2.0,-2.0,27.0,23.0,0.0,0.0,-74.13827162267485,-4.204753199268737,-0.4289368853079424,-0.3815573993431964,-0.15045033875866354,-0.25741865923384266,-0.030963120740460925,-0.043309315594805886,-23.0,-0.08210990252142158,-0.10721127486513238,-0.17837432655696628,-0.008777719498706427,-0.006691076686539121,0.0008740474837947154,False,False,False,False,False,True,True
SP01,5,2,2,muller,-2.0,-2.0,-22.0,-18.0,0.0,0.0,-53.1072627474449,-46.0343360481752,-0.2419882405448421,-0.45883330371277753,-0.4022338520652322,-0.23437513581115188,-0.21790009999850968,-0.08385705763753948,18.0,-0.04680837325153142,-0.20833394239023262,-0.3106188120659912,-0.014241447482382541,0.0035674399047322947,0.03926938140798897,False,False,False,False,False,False,True
