origin_a,origin_b,aspect_ratio,fleet_size,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
30.0,170.0,2.5,100,86,0.06310060786226963,0.07353976138330919,0.29894329630582234,0.0038751937469388006,0.0016280356470292135,0.02249449471100653,86,86,0.0,120
30.0,170.0,2.5,125,85,0.04926855090025806,0.11336185206322621,0.26082008675008583,0.004810526480642148,0.0025158147795956197,0.01874731941161429,106,106,0.0,120
30.0,170.0,2.5,150,83,0.09538448632724232,0.06920387175088201,0.2975878681863628,0.005316306400196264,0.003216351092695997,0.027082773963418048,130,130,0.0,120
30.0,170.0,3.0,50,88,0.12966658820583618,0.10341649738420973,0.35270098920694326,0.007568306133355024,0.0033796252524044747,0.026366662782588805,42,43,2.0,120
30.0,170.0,3.0,75,86,0.07666917056170476,0.03235879267602655,0.3015134548734897,0.004342425023950799,0.0032980946682854622,0.036044492656955696,65,63,2.666666666666667,120
30.0,170.0,3.0,100,86,0.18545367436226623,0.15451315605801832,0.320161599494178,0.004864832089071852,0.0016797066649727691,0.013028478706132727,87,87,0.0,120
30.0,170.0,3.0,125,86,0.0953894022342475,0.06493699788563359,0.18546482652327564,0.004901824190753327,0.0021975789502440605,0.010919769782577598,109,108,0.8,120
30.0,170.0,3.0,150,85,0.13486561384227883,0.1322848929129192,0.22542724141449375,0.005859118759302269,0.0014464257859922206,0.009048478913331933,130,130,0.0,120
50.0,150.0,1.0,50,63,0.1765355829784308,0.3557146727799218,0.41632405831680996,0.009396403197925533,0.003411133920191912,0.1489817337830723,34,33,2.0,120
50.0,150.0,1.0,75,61,0.18413873782066043,0.1298592487367839,0.36232780495650163,0.005130182115281629,0.004792171725261679,0.14301165965233034,51,51,0.0,120
50.0,150.0,1.0,100,59,0.18263550630514652,0.1618766599858844,0.3212108198141532,0.0069388460137391715,0.0013705532179185617,0.046749621094563897,69,67,2.0,120
50.0,150.0,1.0,125,57,0.16339349621084065,0.29441208925364504,0.39691744141101937,0.004226031295967975,0.00281192456307687,0.0698772407110568,88,88,0.0,120
50.0,150.0,1.0,150,56,0.1127857843606436,0.18532636311128392,0.3657775968835249,0.006195423343997869,0.0019199406393308547,0.10357115010209066,105,106,0.6666666666666667,120
50.0,150.0,1.5,50,63,0.10376652199990555,0.09045282214016528,0.3515964231837524,0.006423052465240301,0.009419996576612945,0.12289398700000088,35,32,6.0,120
50.0,150.0,1.5,75,61,0.23992396488822232,0.3332636677986299,0.3294141536570149,0.007842647384282597,0.0022209711604670966,0.08934523725790186,50,52,2.666666666666667,120
50.0,150.0,1.5,100,60,0.15450014596285683,0.17735879432281051,0.3346896411392641,0.006422611745599767,0.002218154768346643,0.07576378763935428,72,69,3.0,120
50.0,150.0,1.5,125,58,0.06733023435750787,0.1112106549693726,0.5206848426675689,0.003994150715003643,0.0029587614332676542,0.025767362165868665,86,91,4.0,120
50.0,150.0,1.5,150,57,0.10022151444017835,0.10155914480706807,0.3168234311978879,0.004505060650772657,0.002777620730426567,0.03993466570797859,104,105,0.6666666666666667,120
