origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,2.0,75,1.0,5.0,,0.24810247924367937,0.40517769216525984,0.4900597646913669,0.005464569594290463,0.0047501171402773105,0.0017907779748417502,75,75,0.0,120
10.0,190.0,2.0,75,1.0,7.0,,0.24810247924367937,0.40517769216525984,0.4900597646913669,0.005464569594290463,0.0047501171402773105,0.0017907779748417502,75,75,0.0,120
10.0,190.0,2.0,75,2.0,3.0,116,0.1385676706132124,0.1649113132808507,0.16925823399386447,0.0062164863194254325,0.0015704940596098786,0.0026651894344573777,75,75,0.0,120
10.0,190.0,2.0,75,2.0,5.0,115,0.1385676706132124,0.1649113132808507,0.16925823399386447,0.0062164863194254325,0.0015704940596098786,0.0026651894344573777,75,75,0.0,120
10.0,190.0,2.0,75,2.0,7.0,115,0.1385676706132124,0.1649113132808507,0.16925823399386447,0.0062164863194254325,0.0015704940596098786,0.0026651894344573777,75,75,0.0,120
10.0,190.0,2.0,75,3.0,3.0,117,0.0569734036194398,0.1625561428414677,0.07865538050880048,0.003259228574223412,0.003999627867882522,0.0024965416899781767,75,75,0.0,120
10.0,190.0,2.0,75,3.0,5.0,115,0.0569734036194398,0.1625561428414677,0.07865538050880048,0.003259228574223412,0.003999627867882522,0.0024965416899781767,75,75,0.0,120
10.0,190.0,2.0,75,3.0,7.0,114,0.0569734036194398,0.1625561428414677,0.07865538050880048,0.003259228574223412,0.003999627867882522,0.0024965416899781767,75,75,0.0,120
10.0,190.0,2.0,100,1.0,3.0,,0.15481534497714947,0.20945965480236037,0.3558382936133521,0.006001882582731464,0.002146499876983416,0.0024428052646493486,100,100,0.0,120
10.0,190.0,2.0,100,1.0,5.0,120,0.15481534497714947,0.20945965480236037,0.3558382936133521,0.006001882582731464,0.002146499876983416,0.0024428052646493486,100,100,0.0,120
10.0,190.0,2.0,100,1.0,7.0,119,0.15481534497714947,0.20945965480236037,0.3558382936133521,0.006001882582731464,0.002146499876983416,0.0024428052646493486,100,100,0.0,120
10.0,190.0,2.0,100,2.0,3.0,115,0.22187989935743918,0.06548204635652637,0.15416936428705358,0.005581530147313886,0.0028101015250289363,0.003957380290726142,100,100,0.0,120
10.0,190.0,2.0,100,2.0,5.0,115,0.22187989935743918,0.06548204635652637,0.15416936428705358,0.005581530147313886,0.0028101015250289363,0.003957380290726142,100,100,0.0,120
10.0,190.0,2.0,100,2.0,7.0,114,0.22187989935743918,0.06548204635652637,0.1444007644004126,0.005581530147313886,0.0028101015250289363,0.003948971350993205,99,99,0.0,120
10.0,190.0,2.0,100,3.0,3.0,115,0.08096738638047551,0.12947215223683164,0.20682797553730836,0.0042740648113676035,0.003942773617530655,0.004425004227016257,100,100,0.0,120
10.0,190.0,2.0,100,3.0,5.0,114,0.08096738638047551,0.12947215223683164,0.20682797553730836,0.0042740648113676035,0.003942773617530655,0.004425004227016257,100,100,0.0,120
10.0,190.0,2.0,100,3.0,7.0,113,0.08096738638047551,0.12947215223683164,0.20682797553730836,0.0042740648113676035,0.003942773617530655,0.004425004227016257,100,100,0.0,120
10.0,190.0,2.0,125,1.0,3.0,120,0.17954320920271966,0.24208221302656013,0.40577276073053503,0.005881847055301099,0.002138510615620903,0.0023866995559135833,125,125,0.0,120
10.0,190.0,2.0,125,1.0,5.0,119,0.17954320920271966,0.24208221302656013,0.40577276073053503,0.005881847055301099,0.002138510615620903,0.0023866995559135833,125,125,0.0,120
10.0,190.0,2.0,125,1.0,7.0,119,0.17954320920271966,0.24208221302656013,0.40577276073053503,0.005881847055301099,0.002138510615620903,0.0023866995559135833,125,125,0.0,120
10.0,190.0,2.0,125,2.0,3.0,114,0.1781369752105548,0.22598270163238582,0.18382585832147033,0.004586343564569856,0.004223483909967682,0.0013976449648918227,125,125,0.0,120
