cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_ar_p90_A,delta_wedge_p10_A,delta_split_p90_A,delta_persistent_outlier_p90,delta_max_persistence,delta_mirror_ar_gap,delta_mirror_wedge_gap,delta_jitter_ar_A,delta_jitter_wedge_A,cut_exists_v1,cut_exists_v3a,pocket_exists_v1,pocket_exists_v3a
2,8,2,mittermeyer,85.0,2.0,2.0,-1.0,0.039866799844160195,0.062319014076305135,0.0017416619265493427,0.0,0.0,-0.11016570440113549,0.05013162917056446,-0.006482984691898476,-0.002367332753879719,True,True,True,True
2,8,2,muller,-6.0,3.0,-36.0,-8.0,0.053400426493031006,0.11380310113817071,0.005160243588668845,-3.0,-51.0,0.07654998527291212,0.0992578610492082,-0.006672784306333892,-0.010021442820363248,True,True,True,True
2,8,2,reinhard,10.0,3.0,3.0,-1.0,0.038315253669484406,0.04414455865701261,0.0025425708388473467,0.0,-24.0,-0.1729481632868295,0.01632951218485068,-0.008534199242092401,-0.013970274230417834,True,True,True,True
2,8,2,reuenthal,8.0,1.0,-133.0,0.0,0.027284847894903486,-0.031617179785890404,0.009492971595930433,0.0,0.0,-0.014511608823479794,-0.03735487131927551,-0.0032320555231467457,0.0013649061131516607,True,True,True,True
2,8,5,bittenfeld,142.0,2.0,2.0,-36.0,0.019524487741769736,-0.024201185612688025,0.00752226931846689,-1.0,-30.0,-0.07504047140856596,-0.04109515708753997,-0.004405954910488394,0.0031396893457585305,True,True,True,True
2,8,5,kircheis,45.0,2.0,-2.0,-58.0,0.02249722049252334,-0.028164131583283902,0.006058165851473785,-1.0,-37.0,-0.15455701933028032,-0.03166192825298941,-0.004459262686583632,-0.006251110579911977,True,True,True,True
2,8,5,mittermeyer,-24.0,2.0,2.0,0.0,0.0330820951970443,-0.009267771244942935,0.00710145043435495,0.0,0.0,-0.08854307025917363,-0.0359975088891934,-0.004861417801023497,0.0015924177455476536,True,True,True,True
2,8,5,muller,-72.0,2.0,2.0,-60.0,0.02787430269706004,0.00823259846836688,0.0053052364136023655,-2.0,-45.0,0.0385642499243839,-0.021077529802703276,-0.004710019750936214,0.0019644079761603414,True,True,True,True
2,8,5,reinhard,-12.0,2.0,0.0,0.0,0.06349777930646461,0.006165465081409582,0.010979398178029287,0.0,-19.0,-0.14448003437120427,0.011207947680728747,-0.00479011026236012,-0.011481223949441606,True,True,True,True
2,8,5,reuenthal,2.0,1.0,-96.0,0.0,0.016471648300929953,-0.03651922107125727,0.0071447313084958,0.0,0.0,-0.03241420996555755,-0.04367392693342942,-0.003517438449499019,-0.0023492166920589044,True,True,True,True
2,8,8,bittenfeld,-29.0,2.0,-3.0,-12.0,0.027413494374659564,-0.014898752332189291,0.007655073709815552,-1.0,-30.0,-0.1264718832132039,-0.031181217320957022,-0.003910450621065781,0.001362748370593284,True,True,True,True
2,8,8,kircheis,20.0,1.0,-4.0,-1.0,0.03067627845377041,0.029983434078144633,0.0053602409362842884,-2.0,-42.0,-0.11088611919812763,0.011316087396345043,-0.0033940845773334574,0.0004619238789171712,True,True,True,True
2,8,8,mittermeyer,52.0,1.0,1.0,-3.0,0.013918280199479494,-0.013894939936883732,0.006868852618632015,0.0,0.0,-0.13031567052167725,-0.011358478448096343,-0.00362921880674726,-0.010215932605329409,True,True,True,True
2,8,8,muller,-20.0,2.0,2.0,-69.0,0.02989278847988297,-0.036960464865928744,0.010047193898691242,-2.0,-46.0,0.07522478910311792,-0.04209797141432259,-0.004309815020485067,0.003961563049954897,True,True,True,True
2,8,8,reinhard,-127.0,2.0,2.0,-49.0,0.025397473563764095,-0.008727205627706791,0.010317135937215616,0.0,-22.0,-0.1821540918278135,-0.04392372039561643,-0.0030879965621145302,0.005803878969616974,True,True,True,True
2,8,8,reuenthal,79.0,1.0,-31.0,-1.0,0.0026344877988795368,-0.020456888913585658,0.010143234553328773,0.0,0.0,-0.04451296053135412,-0.018356943724147423,-0.0032480130421408595,-0.004038604710269393,True,True,True,True
5,2,2,bittenfeld,54.0,6.0,-135.0,-27.0,-0.038715496557424345,0.5172808402980622,-0.012877889100910478,-7.0,-58.0,-0.09865410434687583,0.039971723697586614,-0.013361651276684067,-0.0013035416270772981,True,True,True,True
5,2,2,kircheis,-145.0,6.0,6.0,-54.0,-0.04694375753665536,0.494276507047099,-0.01719127235788309,-9.0,-66.0,-0.01522678955659229,-0.0067699911366431165,-0.013710946698596429,-0.008621843499413827,True,True,True,True
5,2,2,mittermeyer,-19.0,4.0,9.0,-46.0,0.08919660714717947,0.5794622213153181,-0.012965951796318764,-3.0,-49.0,-0.07899157796706113,0.04682323595928706,-0.013648823654051801,-0.008352638972084365,True,True,True,True
5,2,2,muller,8.0,7.0,27.0,-21.0,-0.02918600223625889,0.6171151175118588,-0.010953733613857874,-9.0,-72.0,-0.1954117191298721,0.06665188388757592,-0.011985871391005392,-0.0035903516032758133,True,True,True,True
5,2,2,reinhard,76.0,6.0,165.0,-20.0,-0.05957890014894085,0.5878667878151428,-0.024706710496288586,-7.0,-59.0,-0.2715363762914227,0.05380801489426568,-0.01487673818941349,-0.008185312829470857,True,True,True,True
5,2,2,reuenthal,-119.0,3.0,3.0,1.0,0.25098247159946574,0.38307564666105376,-0.016278880800874695,0.0,0.0,-0.17860867412023795,0.1920970562945079,-0.00868146069258249,-0.012346180458120932,True,True,True,True
5,2,5,bittenfeld,81.0,5.0,5.0,-30.0,0.1960787991757531,0.38478552523214327,-0.013235621468315806,-2.0,-38.0,0.04526070368921209,0.15454734620623212,-0.01136163314058422,-0.005898059383436238,True,True,True,True
5,2,5,kircheis,-48.0,5.0,-33.0,-19.0,0.18598405058843337,0.4309338315647737,-0.023674829636393557,-5.0,-57.0,0.1197676958916527,0.18876210066938592,-0.010562686383615015,0.001355186151177079,True,True,True,True
5,2,5,mittermeyer,16.0,3.0,17.0,0.0,0.15210793103105003,0.3661491609380624,-0.022462662723783167,0.0,0.0,-0.03279090525200523,0.1385884368723237,-0.008814290092208528,-0.007594318819898683,True,True,True,True
5,2,5,muller,13.0,7.0,7.0,-12.0,0.19959708519975772,0.33443832152945363,-0.005895306094630071,-5.0,-64.0,-0.23294218652560517,0.12075990838359751,-0.011053327592759048,-0.002143079982076742,True,True,True,True
5,2,5,reinhard,-32.0,4.0,63.0,0.0,0.17186316797767853,0.3953896462693447,-0.008758569802571614,-1.1000000000000085,-36.0,-0.051400845487036495,0.23186908586553967,-0.01100050393039872,-0.0037549809449363616,True,True,True,True
5,2,5,reuenthal,100.0,3.0,1.0,1.0,0.14415305194801764,0.27266563171107006,-0.006527922390884289,0.0,0.0,-0.08742692956349796,0.2589096784497529,-0.008294330553056234,-0.0062592822266008714,True,True,True,True
5,2,8,bittenfeld,-40.0,5.0,12.0,-8.0,0.16868249746182506,0.3327526302930667,-0.01600237177505015,-2.0,-38.0,0.07326949116979709,0.1717518000333934,-0.009311373258488199,-0.004939025410328767,True,True,True,True
5,2,8,kircheis,-64.0,5.0,9.0,28.0,0.17393763835993692,0.2641363105011978,-0.011884039652822143,-4.0,-55.0,0.09569555533397534,0.19322952924804082,-0.009130438096163394,-0.0044252575645067,True,True,True,True
5,2,8,mittermeyer,-101.0,3.0,107.0,-36.0,0.16346446503899026,0.41213263195830285,-0.0133882500677307,0.0,0.0,-0.003187437492678802,0.20429041390439162,-0.008564687562708194,-0.008832015115175186,True,True,True,True
5,2,8,muller,38.0,5.0,13.0,-20.0,0.16390823604265492,0.32699966343476206,-0.022640983699189432,-4.0,-58.0,-0.23238661465926835,0.22922258492559822,-0.009813956968630062,-0.005312854725318847,True,True,True,True
5,2,8,reinhard,136.0,4.0,8.0,0.0,0.16419004748097032,0.3333237110464231,-0.01892916268917144,0.0,-27.0,-0.04445302827844744,0.19949140619942007,-0.009947065582783077,0.0021701129164486514,True,True,True,True
5,2,8,reuenthal,-14.0,3.0,3.0,1.0,0.15524874508634356,0.30364085022127063,-0.008956734848958314,0.0,0.0,-0.07600379565709003,0.25115570761816575,-0.007946883057723845,-0.006832666347648753,True,True,True,True
5,5,2,bittenfeld,37.0,5.0,56.0,-33.0,0.08074290863853806,0.4953783841404368,-0.06380200137245318,-8.0,-59.0,0.027612999167690777,-0.021884084773136303,-0.012194862304811115,-0.0013997924453467217,True,True,True,True
5,5,2,kircheis,155.0,6.0,6.0,-17.0,0.09367566138039507,0.5341571558373934,-0.20645345112141245,-11.0,-66.0,0.08359093584292587,-0.052578302196415905,-0.011406114938282058,-0.008364471383493144,True,True,True,True
5,5,2,mittermeyer,-9.0,5.0,13.0,-50.0,0.14829159277252035,0.49443762943050884,-0.04915332469430744,-4.0,-56.0,-0.007326277880000065,-0.025310843943900707,-0.011603558530873777,-0.012355543203304613,True,True,True,True
5,5,2,muller,80.0,7.0,7.0,-31.0,0.12137911540395452,0.5114794787601054,-0.06511291045529743,-10.0,-72.0,-0.31194606658600454,0.016950204359209575,-0.009667115125835454,-0.011869462565547446,True,True,True,True
5,5,2,reinhard,277.0,6.0,45.0,-39.0,0.0036739301461303775,0.6078267648218431,-0.12152783240867349,-7.0,-61.0,-0.19265409729829908,0.04659078786413795,-0.012024875294818382,-0.007310368198736667,True,True,True,True
