tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
131,B,97,9365.96369798673,9366,0.23711340206185566,0.039014680600039986,1.0,0,0,1,93,
132,A,93,8975.898913425093,8976,0.3548387096774194,0.08870586167031247,0.3399999999999994,0,0,1,96,
132,B,95,9344.567962046121,9345,0.3368421052631579,0.03427185456945481,1.0,0,0,1,96,
133,A,93,8916.560317389532,8917,0.1827956989247312,0.17532088621341668,0.3349999999999994,0,0,1,100,
133,B,95,9302.900679580667,9303,0.2631578947368421,0.04742612853930561,1.0,0,0,1,100,
134,A,92,8862.63751687157,8863,0.44565217391304346,0.09015147220453856,0.3299999999999994,0,0,1,110,
134,B,95,9253.908185935683,9254,0.21052631578947367,0.03756342711017424,1.0,0,0,1,110,
135,A,92,8798.598081005819,8799,0.22826086956521738,0.22850385717154753,0.3249999999999994,0,0,1,110,
135,B,95,9206.428823170798,9207,0.12631578947368421,0.02956544909587311,1.0,0,0,1,110,
136,A,90,8746.475448218573,8747,0.3333333333333333,0.11558970970495286,0.3199999999999994,0,0,1,115,
136,B,95,9159.300777286428,9160,0.1368421052631579,0.01811476195316164,1.0,0,0,1,115,
137,A,90,8678.598366583234,8679,0.4222222222222222,0.1725960764358614,0.3149999999999994,0,0,1,112,
137,B,95,9114.515651909585,9115,0.14736842105263157,0.0200359266596426,1.0,0,0,1,112,
138,A,89,8612.830203358153,8613,0.47191011235955055,0.21526582380933035,0.3099999999999994,0,0,1,115,
138,B,95,9068.678098944889,9069,0.22105263157894736,0.02160418423180288,1.0,0,0,1,115,
139,A,89,8545.201364021024,8546,0.5393258426966292,0.2344873803556622,0.3049999999999994,0,0,1,113,
139,B,95,9022.298842919752,9023,0.07368421052631578,0.033011684586808365,1.0,0,0,1,113,
140,A,89,8473.95616329425,8474,0.2808988764044944,0.26648601216963774,0.2999999999999994,0,0,1,116,
140,B,95,8976.083192339065,8977,0.1368421052631579,0.011198233950039271,1.0,0,0,1,116,
141,A,88,8413.660316781768,8414,0.22727272727272727,0.14049602193288813,0.2949999999999994,0,0,1,116,
141,B,92,8936.768239752637,8937,0.11956521739130435,0.021292356988034222,1.0,0,0,1,116,
142,A,86,8360.664205964418,8361,0.38372093023255816,0.11874706736219787,0.28999999999999937,0,0,1,107,
142,B,90,8907.151778581449,8908,0.07777777777777778,0.017953939179410794,1.0,0,0,1,107,
143,A,86,8309.117231850336,8310,0.32558139534883723,0.2006736212087603,0.28499999999999936,0,0,1,87,
143,B,90,8871.74426505495,8872,0.08888888888888889,0.010934100142452663,1.0,0,0,1,87,
144,A,86,8257.635027510607,8258,0.22093023255813954,0.16913365399340052,0.27999999999999936,0,0,1,90,
144,B,90,8834.452446287269,8835,0.06666666666666667,0.01261024383822884,1.0,0,0,1,90,
145,A,86,8204.628645182453,8205,0.22093023255813954,0.11570344494097473,0.27499999999999936,0,0,1,92,
145,B,90,8796.440841441401,8797,0.1111111111111111,0.009591191686453393,1.0,0,0,1,92,
146,A,85,8152.121874710007,8153,0.1411764705882353,0.11612486068436279,0.26999999999999935,0,0,1,92,
146,B,90,8758.285313391007,8759,0.07777777777777778,0.016093275881026825,1.0,0,0,1,92,
147,A,83,8114.265691496798,8115,0.3614457831325301,0.07272095679073975,0.26499999999999935,0,0,1,89,
147,B,90,8721.298947969033,8722,0.13333333333333333,0.011222597333226836,1.0,0,0,1,89,
148,A,83,8065.936844712973,8066,0.24096385542168675,0.18669149207323965,0.25999999999999934,0,0,1,84,
148,B,90,8685.912986171996,8686,0.15555555555555556,0.019328503406920494,1.0,0,0,1,84,
149,A,82,8026.052110528441,8027,0.3170731707317073,0.1224645354649394,0.25499999999999934,0,0,1,87,
149,B,90,8649.558461483664,8650,0.14444444444444443,0.022482807978403185,1.0,0,0,1,87,
150,A,82,7975.357727238396,7976,0.524390243902439,0.16505550173111327,0.24999999999999933,0,0,1,86,
150,B,88,8620.739772087687,8621,0.09090909090909091,0.021171325099951233,1.0,0,0,1,86,
151,A,82,7925.308070041524,7926,0.34146341463414637,0.2643652205653406,0.24499999999999933,0,0,1,78,
151,B,88,8591.504147839436,8592,0.18181818181818182,0.012770183464776541,1.0,0,0,1,78,
152,A,82,7874.827415198679,7875,0.32926829268292684,0.17759470086250506,0.23999999999999932,0,0,1,79,
