tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
128,A,97,9432.46283334976,9433,0.7216494845360825,0.1485456504183631,1.0,0,0,1,101,
128,B,96,9318.689955881388,9319,0.78125,0.13328011288112762,1.0,0,0,1,101,
129,A,96,9397.080786587552,9398,0.75,0.13828294744309988,1.0,0,0,1,102,
129,B,95,9273.252175260039,9274,0.7473684210526316,0.17192585713515274,1.0,0,0,1,102,
130,A,96,9355.312883212326,9356,0.78125,0.17308452286729858,1.0,0,0,1,95,
130,B,94,9242.392531055646,9243,0.7340425531914894,0.1794183053087941,1.0,0,0,1,95,
131,A,96,9305.022345165045,9306,0.6875,0.19074951349366953,1.0,0,0,1,98,
131,B,94,9193.045032940958,9194,0.723404255319149,0.19728899827743518,1.0,0,0,1,98,
132,A,96,9250.571187278421,9251,0.6041666666666666,0.1735024980221741,1.0,0,0,1,108,
132,B,94,9138.83851809978,9139,0.6170212765957447,0.19239894332050156,1.0,0,0,1,108,
133,A,95,9201.825203377555,9202,0.6526315789473685,0.1549180700770495,1.0,0,0,1,113,
133,B,94,9083.656535283626,9084,0.723404255319149,0.16661024916046396,1.0,0,0,1,113,
134,A,94,9174.531486184816,9175,0.723404255319149,0.19364364264123013,1.0,0,0,1,104,
134,B,93,9044.601644600218,9045,0.7311827956989247,0.20032252253362848,1.0,0,0,1,104,
135,A,94,9137.007234083832,9138,0.6702127659574468,0.2473481988951487,1.0,0,0,1,98,
135,B,92,9002.599808902984,9003,0.7717391304347826,0.21572245844388072,1.0,0,0,1,98,
136,A,94,9100.723201485336,9101,0.574468085106383,0.23213983623014656,1.0,0,0,1,89,
136,B,92,8948.240417314195,8949,0.7065217391304348,0.26510865030881403,1.0,0,0,1,89,
137,A,94,9062.251863280595,9063,0.6914893617021277,0.21103027408630548,1.0,0,0,1,92,
137,B,92,8893.087329274862,8894,0.75,0.22772383923618233,1.0,0,0,1,92,
138,A,92,9028.936439335992,9029,0.6847826086956522,0.27201651839226093,1.0,0,0,1,92,
138,B,91,8838.371829750551,8839,0.6373626373626373,0.23058342249958574,1.0,0,0,1,92,
139,A,92,8991.901124584838,8992,0.75,0.3184149104491618,1.0,0,0,1,94,
139,B,89,8809.619623132832,8810,0.7191011235955056,0.20131575359075304,1.0,0,0,1,94,
140,A,92,8948.729197538247,8949,0.6413043478260869,0.36062148179546294,1.0,0,0,1,80,
140,B,89,8770.462715478834,8771,0.7528089887640449,0.25637968320130156,1.0,0,0,1,80,
141,A,92,8888.665891325347,8889,0.7282608695652174,0.2786168210415625,1.0,0,0,1,107,
141,B,88,8723.200272847293,8724,0.75,0.2642818206996356,1.0,0,0,1,107,
142,A,91,8847.943920124157,8848,0.6703296703296703,0.2844041340587652,1.0,0,0,1,99,
142,B,88,8681.508875203488,8682,0.7386363636363636,0.2635053636898472,1.0,0,0,1,99,
143,A,90,8812.805084639022,8813,0.5777777777777777,0.29068516631133234,1.0,0,0,1,98,
143,B,88,8626.034068338075,8627,0.75,0.2643184656138262,1.0,0,0,1,98,
144,A,89,8769.040350095323,8770,0.6292134831460674,0.23734610031724057,1.0,0,0,1,106,
144,B,87,8575.481783742856,8576,0.6206896551724138,0.23281905488296473,1.0,0,0,1,106,
145,A,89,8721.574108007573,8722,0.6067415730337079,0.32327279843031453,1.0,0,0,1,106,
145,B,87,8513.922637151214,8514,0.735632183908046,0.2201807386862712,1.0,0,0,1,106,
146,A,89,8663.660705202012,8664,0.6853932584269663,0.3265356013612164,1.0,0,0,1,123,
146,B,87,8447.089423669511,8448,0.7011494252873564,0.2386615247163022,1.0,0,0,1,123,
147,A,89,8613.911711699267,8614,0.6067415730337079,0.40861422023320826,1.0,0,0,1,113,
147,B,87,8383.561956809008,8384,0.7126436781609196,0.22692258949144384,1.0,0,0,1,113,
148,A,88,8560.987010570589,8561,0.7272727272727273,0.3370539482939552,1.0,0,0,1,121,
148,B,86,8335.66434813003,8336,0.6976744186046512,0.24591038280977362,1.0,0,0,1,121,
149,A,88,8510.383798281222,8511,0.6363636363636364,0.35150024841925864,1.0,0,0,1,112,
149,B,85,8285.945009921501,8286,0.7176470588235294,0.24073235919951386,1.0,0,0,1,112,
150,A,87,8470.498378311642,8471,0.6896551724137931,0.3035617526269452,1.0,0,0,1,113,
150,B,85,8220.993384683861,8221,0.8352941176470589,0.2640173784361337,1.0,0,0,1,113,
151,A,87,8427.681287090107,8428,0.7011494252873564,0.34964618376722045,1.0,0,0,1,106,
151,B,85,8155.877150499732,8156,0.7058823529411765,0.3181067373535149,1.0,0,0,1,106,
152,A,86,8385.372695216998,8386,0.7209302325581395,0.3607762356379416,1.0,0,0,1,113,
152,B,84,8089.902935108983,8090,0.7023809523809523,0.2880750239395441,1.0,0,0,1,113,
153,A,86,8343.24958149474,8344,0.7209302325581395,0.4133748682921854,1.0,0,0,1,103,
153,B,83,8030.520020305861,8031,0.7108433734939759,0.278688147659669,1.0,0,0,1,103,
154,A,85,8319.638428221931,8320,0.6941176470588235,0.408794197469438,1.0,0,0,1,103,
154,B,82,7994.032348826536,7995,0.7195121951219512,0.3020852397271223,1.0,0,0,1,103,
155,A,85,8277.473681860252,8278,0.7176470588235294,0.3979176339202011,1.0,0,0,1,92,
155,B,82,7942.457969052172,7943,0.7195121951219512,0.3387528801241133,1.0,0,0,1,92,
156,A,85,8221.152603497767,8222,0.6823529411764706,0.3691701165616783,1.0,0,0,1,104,
156,B,81,7894.755058345362,7895,0.7777777777777778,0.3294921199907438,1.0,0,0,1,104,
157,A,84,8181.145664504731,8182,0.7261904761904762,0.337525807344105,1.0,0,0,1,113,
157,B,80,7863.308301720925,7864,0.7625,0.32529617892899276,1.0,0,0,1,113,
158,A,84,8124.229417203737,8125,0.5714285714285714,0.3579175035235995,1.0,0,0,1,109,
158,B,80,7808.585611902317,7809,0.7125,0.27469508087791317,1.0,0,0,1,109,
