tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
125,1.0,1.0,0.1832958228524031,0.08724009401677757,0.0,0.0,0.9127599059832224,0.8167041771475969,96,100,4,5
126,1.0,1.0,0.1679440913760638,0.09634743727864448,0.0,0.0,0.9036525627213555,0.8320559086239362,95,100,3,5
127,1.0,1.0,0.21325540470667903,0.09806131185837397,0.0,0.0,0.901938688141626,0.786744595293321,95,100,3,5
128,1.0,1.0,0.19699971148890194,0.1124148589979288,0.0,0.0,0.8875851410020712,0.8030002885110981,94,99,3,5
129,1.0,1.0,0.27379088131937035,0.13558862865179155,0.0,0.0,0.8644113713482084,0.7262091186806297,94,99,3,5
130,1.0,1.0,0.2420720793321922,0.10795166105971232,0.0,0.0,0.8920483389402877,0.7579279206678078,94,99,3,5
131,1.0,1.0,0.20656072708655948,0.1302752717213833,0.0,0.0,0.8697247282786167,0.7934392729134405,94,98,3,4
132,1.0,1.0,0.2180096346091227,0.15310777252768326,0.0,0.0,0.8468922274723167,0.7819903653908773,93,98,3,4
133,1.0,1.0,0.2621794871539733,0.1402451027345465,0.0,0.0,0.8597548972654535,0.7378205128460267,93,98,3,4
134,1.0,1.0,0.2581237283067064,0.156962190971646,0.0,0.0,0.843037809028354,0.7418762716932936,93,97,3,3
135,1.0,1.0,0.24345529697558765,0.1583843043429256,0.0,0.0,0.8416156956570744,0.7565447030244123,93,97,3,3
136,1.0,1.0,0.2510211087528862,0.16449567264442067,0.0,0.0,0.8355043273555793,0.7489788912471138,93,97,3,4
