tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
13,A94,56.296175,66.163714,56.470796,65.829517,3.887143,6.640218,4.000000,7.000000,-0.112857,-0.359782,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A95,54.881883,67.577850,54.568082,67.736951,3.890629,9.334399,4.000000,9.000000,-0.109371,0.334399,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A96,53.467592,68.991985,53.784652,69.577125,4.637962,11.189525,4.000000,11.000000,0.637962,0.189525,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A97,52.053300,70.406120,51.963385,70.096907,3.717765,12.844948,4.000000,13.000000,-0.282235,-0.155052,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A98,50.639008,71.820256,51.228147,72.079647,4.599989,14.766800,4.000000,15.000000,0.599989,-0.233200,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A99,49.224716,73.234391,48.928269,73.452669,3.944746,17.363969,4.000000,17.000000,-0.055254,0.363969,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A100,47.810424,74.648526,47.677153,75.619684,4.592519,19.780917,4.000000,19.000000,0.592519,0.780917,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
14,A1,69.684919,42.802845,70.347598,42.684659,-3.614996,-19.552162,-4.000000,-19.000000,0.385004,-0.552162,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A2,68.270677,44.217029,68.807029,43.957273,-3.804429,-17.562937,-4.000000,-17.000000,0.195571,-0.562937,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A3,66.856434,45.631214,66.672048,45.533044,-4.199797,-14.939032,-4.000000,-15.000000,-0.199797,0.060968,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
