tick,legality_reference_surface_count,legality_feasible_surface_count,legality_middle_stage_active,legality_handoff_ready,expected_position_rms_error,projection_pairs_count,projection_mean_displacement,projection_max_displacement,corrected_unit_ratio
178,100,100,True,True,1.0998972421431312,1,3.387393920917248e-10,1.693696960458624e-08,0.02
179,100,100,True,True,1.099897225732673,1,7.149461973554595e-09,3.5747309867772975e-07,0.02
180,100,100,True,True,1.0998972312906203,2,5.935703057957653e-09,2.935090428479725e-07,0.04
181,100,100,True,True,1.099897253502613,0,0.0,0.0,0.0
182,100,100,True,True,1.0998972219920204,0,0.0,0.0,0.0
183,100,100,True,True,1.0998972347676148,1,1.2123519965712149e-11,6.061759982856074e-10,0.0
184,100,100,True,True,1.0998972537158698,2,3.1282880064154027e-09,1.5429099486929942e-07,0.04
185,100,100,True,True,1.099897284572639,2,2.5570868955604453e-09,1.2628520340562943e-07,0.04
186,100,100,True,True,1.0998973075029521,1,1.7489284798166694e-09,8.744642399083347e-08,0.02
187,100,100,True,True,1.099897328906198,1,1.2109477198762875e-09,6.054738599381437e-08,0.02
188,100,100,True,True,1.0998973571609019,1,2.4113058216812532e-11,1.2056529108406266e-09,0.02
189,100,100,True,True,1.0998973661745803,1,1.9539143636393418e-11,9.76957181819671e-10,0.0
190,100,100,True,True,1.0998973988069625,1,1.4625964883663302e-11,7.31298244183165e-10,0.0
191,100,100,True,True,1.0998974225257883,1,6.472558933268146e-10,3.236279466634073e-08,0.02
192,100,100,True,True,1.0998974462180366,0,0.0,0.0,0.0
193,100,100,True,True,1.0998974554700776,1,2.5733795094851077e-11,1.2866897547425538e-09,0.02
194,100,100,True,True,1.0998974774992298,1,9.142298029729545e-12,4.5711490148647727e-10,0.0
195,100,100,True,True,1.0998975055349844,1,3.986072738548785e-10,1.9930363692743924e-08,0.02
196,100,100,True,True,1.099897525154341,0,0.0,0.0,0.0
197,100,100,True,True,1.0998975333793433,0,0.0,0.0,0.0
198,100,100,True,True,1.0998975509328275,2,2.9033213611029396e-11,1.166752361392298e-09,0.02
199,100,100,True,True,1.099897568101421,2,2.504706797523681e-10,1.2295998996769697e-08,0.02
200,100,100,True,True,1.0998975902342967,2,2.0311071713408068e-10,9.994359673193287e-09,0.02
201,100,100,True,True,1.0998976055687892,1,2.290083678246901e-12,1.1450418391234506e-10,0.0
202,100,100,True,True,1.0998976124451563,0,0.0,0.0,0.0
203,100,100,True,True,1.0998976245674417,1,1.9531902761826813e-11,9.765951380913407e-10,0.0
204,100,100,True,True,1.0998976365889808,2,1.5745523107568714e-10,5.300141325825791e-09,0.04
205,100,100,True,True,1.0998976478088716,3,1.2679143734928289e-10,4.297146416476494e-09,0.04
206,100,100,True,True,1.0998976582496631,3,9.075974860550673e-11,2.97549329619784e-09,0.04
207,100,100,True,True,1.0998976681400408,1,2.3113699842980397e-11,1.1556849921490198e-09,0.02
208,100,100,True,True,1.0998976728812062,1,1.7691883513748508e-11,8.845941756874255e-10,0.0
209,100,100,True,True,1.09989768133534,1,1.3553147493183814e-11,6.776573746591907e-10,0.0
