run_id,movement_model,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB5_PD5_vs_kircheis_v3b4,v3b4,8,5,5,kircheis,2,v2,A,384,27,0,102,111,251,196,2.1107509043788895,2.1840683277974993,0.610069367107253,0.5812359771031325,1.7252829380281458,2.069254064406181,0.9486532730079063,b6c13fef07fc8543b0d9f10b67df5f80a092955708b9623c0fbee05eb7b34af5
precontact_FR8_MB5_PD5_vs_kircheis_v3b5,v3b5,8,5,5,kircheis,2,v2,A,411,23,0,102,113,,177,2.020178232825051,2.1840683277974993,0.6208681562761709,0.5992929058124313,1.7228620164326973,1.9716196522420324,0.881957431063167,acba664ff59bd40a844d9464daa47fee19eb004733f7d324c20fb17a66ab7e0a
precontact_FR8_MB5_PD5_vs_reuenthal_v3a,v3a,8,5,5,reuenthal,3,v2,A,456,12,0,109,117,138,137,2.0483712559282448,2.1840683277974993,0.6639383273022522,0.6401557523346162,1.735955105403975,2.033909556606372,0.880604998115436,2772e1d263ab267afb15aabb10c3f9f7d8139ab9e24e2ae749b9f6a6ab2a427a
precontact_FR8_MB5_PD5_vs_reuenthal_v3b1,v3b1,8,5,5,reuenthal,3,v2,A,536,6,0,109,117,135,143,2.1029388279922787,2.2336914272214923,0.7323101046997366,0.710648853597928,1.7223297213766324,2.0840308977392583,0.8515053010018565,84ca67357e85593dba525884e4c7e2b3c8f789900b32eebfbff773dad053f8af
precontact_FR8_MB5_PD5_vs_reuenthal_v3b2,v3b2,8,5,5,reuenthal,3,v2,A,396,30,0,109,118,134,138,2.123056389467941,2.2308658480428485,0.6970988210119646,0.6859543061967512,1.734644343459133,2.054750814796721,0.9030518691567757,81d60e96d4998a8ee30e839c88536042f44ffc38c4479460c5461ff7369233f1
precontact_FR8_MB5_PD5_vs_reuenthal_v3b3,v3b3,8,5,5,reuenthal,3,v2,A,398,29,0,109,117,133,141,2.069115777659165,2.1682823803805635,0.7023211712411122,0.6677737919863186,1.7399192405543937,1.9968899397222324,0.8751232367731355,c2e670bd1e88ae9fe27de1d299b26f7d6679f2b86e2bceb3dc271695e574af7f
precontact_FR8_MB5_PD5_vs_reuenthal_v3b4,v3b4,8,5,5,reuenthal,3,v2,A,427,20,0,108,116,135,140,2.050681674954146,2.1840683277974993,0.6597068765625564,0.6358417521646391,1.7269567512956647,2.000989018078313,0.8762646963455553,b0cb895af4f62b708dbe10afaa0aff17349c514b1a1a035f62c49fea354747f7
precontact_FR8_MB5_PD5_vs_reuenthal_v3b5,v3b5,8,5,5,reuenthal,3,v2,A,417,20,0,108,116,133,140,2.0102800866184403,2.1840683277974993,0.6622465053672841,0.6401557523346162,1.7284267956256032,2.1345011801050493,0.8268703560870537,f490096603615c4aeadcde16f6290a4f1cf61c87283067f91fb10a8a09d54e4d
precontact_FR8_MB5_PD5_vs_mittermeyer_v3a,v3a,8,5,5,mittermeyer,4,v2,A,502,7,0,107,115,126,167,2.0963634967207265,2.1840683277974993,0.6308389547253391,0.6204761282916935,1.7396612190351577,1.9620634833188573,0.8107870540116054,af2753f551530683ba268cbb6ff2ec78701d56eb859b695c08429a14a894005e
precontact_FR8_MB5_PD5_vs_mittermeyer_v3b1,v3b1,8,5,5,mittermeyer,4,v2,B,499,0,9,107,115,170,185,2.243062577426536,2.323684870281167,0.6786102766235741,0.6676199748073867,1.7327654315630068,2.1834286225598385,0.8306548747855517,a814d540af23970af3e19211f9dd54e38efa1015e9f5346005e689e08c66cecd
precontact_FR8_MB5_PD5_vs_mittermeyer_v3b2,v3b2,8,5,5,mittermeyer,4,v2,A,531,5,0,107,115,225,193,2.2378645192095954,2.2954447895553005,0.7162550427756168,0.6603252828094145,1.7261813751891242,2.0687506350409044,0.9209006332613155,e136ef4f9f7fc5006ec2ccd5dfd5a44a1c7889e40f26eee4b6447193828a2aea
precontact_FR8_MB5_PD5_vs_mittermeyer_v3b3,v3b3,8,5,5,mittermeyer,4,v2,A,416,24,0,107,116,169,201,2.1594075259865386,2.2088043245853393,0.6456117574119644,0.6151328602712396,1.7301198410050296,1.9703588825949807,1.0210436444142257,21c2fce320def8484255d30b198be13ce27dbb5e81711363a001bc83947d182d
precontact_FR8_MB5_PD5_vs_mittermeyer_v3b4,v3b4,8,5,5,mittermeyer,4,v2,A,504,7,0,106,115,125,166,2.0978295750465574,2.1840683277974993,0.6311435958969951,0.6185006200593867,1.7340592503057253,1.994165479421154,1.013038417810618,41a2240527beceaaf4660ccc43dd8715885458f74361abf7f8d63c5fce7c274c
precontact_FR8_MB5_PD5_vs_mittermeyer_v3b5,v3b5,8,5,5,mittermeyer,4,v2,B,541,0,5,106,115,190,169,2.0034412745745547,2.1840683277974993,0.6311435958969951,0.6193905365658534,1.729019116249596,2.0894150727026948,0.8523944625720722,39174f38ea8162ebc5a17e9bed94d82e31b9b3e70bad9d60c9713c2d438a3c6b
precontact_FR8_MB5_PD5_vs_bittenfeld_v3a,v3a,8,5,5,bittenfeld,5,v2,B,484,0,11,105,114,124,204,2.2752698414729946,2.37150858594789,0.6313063166385615,0.5950063505674265,1.7431198444062515,2.136609596643347,0.8975652588050267,87bfc1c633065aae4d8a5c5e5d1594f3236289b927cc3d20280b37165c9c5219
precontact_FR8_MB5_PD5_vs_bittenfeld_v3b1,v3b1,8,5,5,bittenfeld,5,v2,B,432,0,16,104,112,264,195,2.4036130522825556,2.4551131037727365,0.6491249921089434,0.5895755451469338,1.730755445109742,2.313266442819317,0.9218776691169677,10a9b1f708ce0a612818fb53854374e4209ba2d3d4a4bc26471ceb65f39c2804
precontact_FR8_MB5_PD5_vs_bittenfeld_v3b2,v3b2,8,5,5,bittenfeld,5,v2,B,427,0,17,104,112,282,174,2.2403906204389235,2.303769816242974,0.6091652298231163,0.5775132022750527,1.7195311044485733,2.151486338727424,0.8603145310162472,1986f78d869701d9ce56d022a58e97ca17676c75f5ed319a130ee2d2c6eb2c6e
precontact_FR8_MB5_PD5_vs_bittenfeld_v3b3,v3b3,8,5,5,bittenfeld,5,v2,A,471,11,0,104,112,123,168,2.2167086191009755,2.247650936095594,0.6446111628970099,0.6155963344895861,1.734519078909486,2.013223980685388,0.9372253860055008,009e4dbab8c88e6ee27bb586da5d1fa53c84a782e4ec77a5ce110a07ecd2abc0
precontact_FR8_MB5_PD5_vs_bittenfeld_v3b4,v3b4,8,5,5,bittenfeld,5,v2,B,503,0,7,103,111,268,162,2.1029644959895784,2.1840683277974993,0.6343084287757759,0.6080526808528278,1.737966827622075,2.163795025573137,1.0,a8115f707b3f04b4692a099e1ce4512224116ecd59859280ebef6e57284d1953
