run_id,movement_model,movement_v3a_experiment,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,precontact_outlier_total_p90,precontact_persistent_outlier_p90,precontact_max_persistence_max,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB5_PD5_vs_muller_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,muller,6,v2,B,476,0,11,106,114,125,187,1.9909050629104728,2.194327974061379,0.7197718992638984,0.7002030582615067,1.7297771184948934,3.0,0.0,27.0,2.1461834580146393,0.8984002044216475,6176adf66953b5df15e60fe9f04c7e263d599ae6d80d5652d5efe8479a6cf357
precontact_FR8_MB5_PD5_vs_muller_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,muller,6,v2,B,433,0,16,104,113,123,202,2.1847112963171997,2.2440620923109362,0.6008378169280888,0.5680675315754361,1.734727268671893,7.0,5.0,59.0,2.2006962487400985,0.9777739306136803,b7d8621ea13c096125babd67aefd86b217c806eae6b7f1af077b76f3168f760b
precontact_FR8_MB5_PD5_vs_muller_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,muller,6,v2,B,533,0,5,105,113,124,183,2.154818203412051,2.199871186448257,0.6103959415122459,0.5989979866976046,1.7405447333248047,6.0,4.0,46.0,2.2341316056825082,0.924445333363253,90f3463519a0bad136f8db1697422f12374a1239842e9ac407d94bacf9406882
precontact_FR8_MB8_PD5_vs_reinhard_base,v3a,base,8,8,5,reinhard,1,v2,A,423,17,0,105,113,176,159,2.1813280922342186,2.322263511388352,0.5904526877007308,0.5504897600565943,1.7232205577476634,5.0,4.0,53.0,2.081363086640725,0.9819670292820812,a1cd03c6c7635003806c9988b1b97382e28aa69cfcc7f8c06706a57e144a948e
precontact_FR8_MB8_PD5_vs_reinhard_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,8,5,reinhard,1,v2,B,447,0,18,107,115,126,182,1.9636471784326197,2.192182537683675,0.7188963422602532,0.6779559321125977,1.7300348510710604,1.0,0.0,20.0,2.1828193055765235,0.9261107419071642,0a080c0efa899fa9fa2d10d464308e64c1be794411e824577ed212bb02802dcf
precontact_FR8_MB8_PD5_vs_reinhard_exp_b_distance_capped,v3a,exp_b_distance_capped,8,8,5,reinhard,1,v2,A,513,7,0,105,114,124,180,2.1811467016749577,2.233157069321564,0.6274168433512621,0.6156710451984442,1.7261626659825844,4.1000000000000085,4.0,51.0,2.110594601474195,0.9571271711303755,313279471c87ee8916ec17f6abc79d4e08b188fca89183a2278f226c308863d7
precontact_FR8_MB8_PD5_vs_reinhard_exp_c_frame_translation,v3a,exp_c_frame_translation,8,8,5,reinhard,1,v2,A,488,9,0,105,113,124,183,2.1197669930426652,2.1843315777417693,0.6329753935040558,0.6164899906138082,1.7338965296754825,4.0,2.1000000000000085,45.0,1.9347984554663267,0.9468666632560905,17f85ee9dc74e4cbcedb9a8922da498cac038c6fbc4a5222572730bc0657a0bc
precontact_FR8_MB8_PD5_vs_kircheis_base,v3a,base,8,8,5,kircheis,2,v2,B,465,0,11,105,114,353,195,2.1888183983734075,2.2075844973272716,0.5545045244803355,0.504139751447752,1.739928229768526,7.0,7.0,55.0,2.1834879361292643,0.9735200143498511,d6c6037670f4e132a47a23f473c6811a2be843c36b82b035d6c56279e18df7d2
precontact_FR8_MB8_PD5_vs_kircheis_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,8,5,kircheis,2,v2,B,465,0,16,106,115,125,210,1.9625111655974539,2.192182537683675,0.6314268206944191,0.5989804971366163,1.741017679280976,4.0,1.0,30.0,1.977046467787374,0.9860437465384768,05228d62e1deaca3ec52a3dadbd44068f67f9e7fd8a16a5e6e36f24bcb05ed57
precontact_FR8_MB8_PD5_vs_kircheis_exp_b_distance_capped,v3a,exp_b_distance_capped,8,8,5,kircheis,2,v2,B,409,0,21,104,114,123,190,2.2486037460044566,2.284307716486819,0.5655663979910199,0.5460485876217182,1.7527864971850626,8.0,7.0,59.0,2.2798788611381813,0.9265962917724251,1f9307e70a5d0010d9a79cb955e467ef52a530766f2dc63d24a24e67412ae7b9
precontact_FR8_MB8_PD5_vs_kircheis_exp_c_frame_translation,v3a,exp_c_frame_translation,8,8,5,kircheis,2,v2,A,494,9,0,105,114,124,215,2.1229294219636223,2.1862508289513305,0.6189086735831543,0.5836531093537995,1.7252282836683095,6.0,6.0,52.0,1.9594961216333509,0.9102791199655902,893e0bc1e5cc8b2fe235212d3f55a363b8dccaee2e6e1cb9e488805e01461a53
precontact_FR8_MB8_PD5_vs_reuenthal_base,v3a,base,8,8,5,reuenthal,3,v2,B,573,0,3,109,117,133,139,2.0610735541518013,2.1811532090517765,0.6566646249908533,0.6176164101460663,1.720037815433884,3.0,1.0,34.0,2.345590209267486,0.7869202413898058,856a18b6990758a8f21693dbded93ce51719fc3cc7efdea24915018cb6bc7d02
precontact_FR8_MB8_PD5_vs_reuenthal_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,8,5,reuenthal,3,v2,A,503,11,0,110,118,134,135,1.9874469411773124,2.192182537683675,0.729868276306639,0.695341822843882,1.7356508568370228,0.0,0.0,5.0,1.7543122719211681,0.977719650032384,ddb9cd8cc873877647b422aa2b559b4e24fe53aa4cae7aa0fa38087469e0316f
precontact_FR8_MB8_PD5_vs_reuenthal_exp_b_distance_capped,v3a,exp_b_distance_capped,8,8,5,reuenthal,3,v2,B,487,0,11,109,117,135,135,2.006534810975589,2.180916204813865,0.672071244647823,0.6417648770444462,1.7279304349444016,4.0,0.10000000000000853,29.0,2.0129796060208047,0.899216118489747,82aa723456d11516e645779c3abcb839fc0e46d6d8111b829033172901526657
precontact_FR8_MB8_PD5_vs_reuenthal_exp_c_frame_translation,v3a,exp_c_frame_translation,8,8,5,reuenthal,3,v2,B,441,0,23,109,117,133,151,1.980175945665488,2.1843315777417693,0.6687473165548997,0.6161855671400484,1.7372112489963534,1.0,0.0,24.0,2.493319183552473,0.82775602144892,836f26d8d18011d2ee51edb3c0a4cfad5a3d070ac35dc6c39df8fcebe488ee04
precontact_FR8_MB8_PD5_vs_mittermeyer_base,v3a,base,8,8,5,mittermeyer,4,v2,B,457,0,19,107,116,126,142,2.133708077234241,2.1823152722233354,0.6507896651224216,0.5977584643339927,1.723963195571289,4.0,2.1000000000000085,39.0,2.03566453034969,0.9097296988716519,0f45604659872deb72e709adf9f11f3ee0410ebe399f4e599763dbe25bdf51ea
precontact_FR8_MB8_PD5_vs_mittermeyer_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,8,5,mittermeyer,4,v2,B,494,0,11,108,116,127,137,1.9755964975446534,2.192182537683675,0.711810353156631,0.6747655942670931,1.7390898034979205,1.0,0.0,14.0,1.8450077395612712,0.770529090186444,b0d6e05ae14d96b5cc1856831f3098e821cd24a83d4ca0295d3bd0a5b1f15688
precontact_FR8_MB8_PD5_vs_mittermeyer_exp_b_distance_capped,v3a,exp_b_distance_capped,8,8,5,mittermeyer,4,v2,B,454,0,14,107,116,249,202,2.089571569569127,2.180916204813865,0.6784464309025525,0.6363976846489127,1.7404552204978976,4.0,1.0,41.0,2.1177247639545285,0.8067024623126751,ed7d6fbbec91b023fac3228744b9d6be3ec875f0c7c599619088735b34188abb
