case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,36,A,100,26,0.26,38.925858811281344,38.188622214634655,8.734920283926783,20.0,0.4367460141963392,1.0,0.26,0.059662913147029206,0.026375565661898137,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,36,B,100,23,0.23,161.40972971950558,161.12655351448407,9.7537098676741,20.0,0.48768549338370504,1.0,0.23,0.026375565661898137,0.059662913147029206,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,37,A,100,15,0.15,39.62723385408797,38.86172518059763,8.72543932869716,20.0,0.436271966434858,1.0,0.15,0.03526547629430865,0.01864968186895366,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,37,B,100,16,0.16,160.73765634279917,160.41358534498397,9.748539544417586,20.0,0.4874269772208793,1.0,0.16,0.01864968186895366,0.03526547629430865,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,38,A,100,20,0.2,40.318237062973786,39.5450792452568,8.724630124099205,20.0,0.43623150620496026,1.0,0.2,0.048215968563453004,0.009269883482169505,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,38,B,100,8,0.08,160.05893502313904,159.70617102785033,9.749024576730385,20.0,0.48745122883651926,1.0,0.08,0.009269883482169505,0.048215968563453004,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,39,A,100,15,0.15,41.006761904184266,40.23441878683659,8.715224139385567,20.0,0.43576120696927834,1.0,0.15,0.03733014900038767,0.006963960916120504,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,39,B,100,6,0.06,159.38466666492562,158.9892483319825,9.747234131555897,20.0,0.4873617065777949,1.0,0.06,0.006963960916120504,0.03733014900038767,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,40,A,100,13,0.13,41.70140082554283,40.91765406422565,8.71574512299008,20.0,0.43578725614950403,1.0,0.13,0.03273636151442616,0.00469410626836575,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,40,B,100,4,0.04,158.702112324651,158.2809222780401,9.732338909716633,20.0,0.4866169454858317,1.0,0.04,0.00469410626836575,0.03273636151442616,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,41,A,100,13,0.13,42.390515129073954,41.60582143214547,8.717620420181367,20.0,0.43588102100906834,1.0,0.13,0.033453410260628536,0.007084468403376176,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,41,B,100,6,0.06,158.0255599187354,157.5672326025101,9.732827321375991,20.0,0.48664136606879954,1.0,0.06,0.007084468403376176,0.033453410260628536,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,42,A,100,11,0.11,43.083903804058345,42.28477263051964,8.717097298788978,20.0,0.4358548649394489,1.0,0.11,0.028617997438881715,0.00830345000852395,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,42,B,100,7,0.07,157.3390430758289,156.863553208648,9.737201786623105,20.0,0.48686008933115527,1.0,0.07,0.00830345000852395,0.028617997438881715,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,43,A,100,18,0.18,43.75907748129107,42.97996620569409,8.727854152840608,20.0,0.4363927076420304,1.0,0.18,0.04850467608902098,0.004791105448218147,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,43,B,100,4,0.04,156.66540296090113,156.1473197458771,9.74199112067189,20.0,0.48709955603359456,1.0,0.04,0.004791105448218147,0.04850467608902098,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,44,A,100,10,0.1,44.4509420681249,43.667128341203714,8.729724596034362,20.0,0.43648622980171814,1.0,0.1,0.027602461289917057,0.004807506474190815,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,44,B,100,4,0.04,155.9867559720674,155.43688296415212,9.737248004553145,20.0,0.48686240022765725,1.0,0.04,0.004807506474190815,0.027602461289917057,0.5555555555555556,1
