case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,23,B,100,0,63,0.63,100,1.0,171.36056698091613,171.68152705721153,7.6466071267380356,20.0,0.38233035633690177,1.0,0.63,1.0,1.760216231518636,1.8934899561681389,2.2226179933862715,0.3004270365886873,0.3043084741560036,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,24,A,100,0,68,0.68,100,1.0,29.276633857163993,28.94166201507338,7.596449056131638,20.0,0.3798224528065819,1.0,0.68,1.0,1.7500823891648123,1.8037182008343156,2.2466107859746463,0.3161492414899816,0.3800449858529028,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,24,B,100,0,73,0.73,100,1.0,170.77839704443454,171.06483522026966,7.618279479980616,20.0,0.3809139739990308,1.0,0.73,1.0,1.7607931300414148,1.766393466798053,2.312549935556185,0.3800449858529028,0.3161492414899816,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,25,A,100,0,73,0.73,100,1.0,29.820431143189953,29.50752516239165,7.493228089806514,20.0,0.3746614044903257,1.0,0.73,1.0,1.709063198208414,1.8130396006819212,2.255308389960071,0.3619969833080434,0.3593059280563985,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,25,B,100,0,68,0.68,100,1.0,170.23762959001138,170.44474875671884,7.5636466687914625,20.0,0.37818233343957314,1.0,0.68,1.0,1.74057940204207,1.7620355158924335,2.349219912766607,0.3593059280563985,0.3619969833080434,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,26,A,100,0,74,0.74,100,1.0,30.394795465599664,30.10816959545718,7.460745265013669,20.0,0.3730372632506834,1.0,0.74,1.0,1.6772793791787612,1.76109377059951,2.2374108392050016,0.39609366015960723,0.35732934648062054,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,26,B,100,0,64,0.64,100,1.0,169.67253841822708,169.89503717373972,7.51967986958406,20.0,0.37598399347920297,1.0,0.64,1.0,1.7165392614170434,1.8431231152583776,2.2322167590988897,0.35732934648062054,0.39609366015960723,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,27,A,100,0,70,0.7,99,0.99,30.944766434648773,30.6797680571887,7.428302960462223,20.0,0.37141514802311115,1.0,0.7,0.99,1.6886457019271495,1.7466259583157746,2.2537646507697064,0.40051808238746844,0.38705532114320507,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,27,B,100,0,66,0.66,100,1.0,169.1490746210163,169.2914686888557,7.43956572260935,20.0,0.3719782861304675,1.0,0.66,1.0,1.699860203165403,1.8243528454626854,2.2096167839003313,0.38705532114320507,0.40051808238746844,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,28,A,100,0,76,0.76,99,0.99,31.500386195248606,31.28014623262412,7.36690110941455,20.0,0.3683450554707275,1.0,0.76,0.99,1.6680003540885144,1.6943694455050295,2.203385858711606,0.4695802948310218,0.47324981328737836,0.5555555555555556,0
