case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,15,A,100,0,43,0.43,100,1.0,24.46052033278214,23.807546779483374,9.047712281955981,20.0,0.45238561409779904,1.0,0.43,1.0,1.948792910347115,1.9859570083855127,2.0924684728978558,0.06029836929993604,0.008991206427947818,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,15,B,100,0,8,0.08,100,1.0,175.57944699751855,175.97474628709327,9.737267337411328,20.0,0.4868633668705664,1.0,0.08,1.0,1.9973389966717259,1.9999999999999833,2.068421107496725,0.008991206427947818,0.06029836929993604,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,16,A,100,0,37,0.37,100,1.0,25.149380944656997,24.49661578312277,9.023532534445303,20.0,0.45117662672226516,1.0,0.37,1.0,1.9466867744188396,1.9795335300013832,2.0864806517396315,0.05318520088108103,0.010071911596454375,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,16,B,100,0,9,0.09,100,1.0,174.90738368097428,175.2725150159109,9.745686263029869,20.0,0.48728431315149345,1.0,0.09,1.0,2.0008727552940253,1.999999999999991,2.1569629163007717,0.010071911596454375,0.05318520088108103,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,17,A,100,0,47,0.47,100,1.0,25.830796786647298,25.19149830324539,9.000370200419821,20.0,0.4500185100209911,1.0,0.47,1.0,1.9497833409765593,1.977846367928053,2.0244660364848994,0.06906515548288084,0.013172608959236998,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,17,B,100,0,12,0.12,100,1.0,174.24879223547606,174.55725915902664,9.755436951662231,20.0,0.48777184758311154,1.0,0.12,1.0,1.987074757669792,1.9958601431918548,2.1070835443228355,0.013172608959236998,0.06906515548288084,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,18,A,100,0,41,0.41,100,1.0,26.502045237517645,25.877946392455193,8.97273186169396,20.0,0.448636593084698,1.0,0.41,1.0,1.9338539958796341,1.9688186311911333,2.041204569087148,0.06087557807205257,0.00894086754167489,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,18,B,100,0,8,0.08,100,1.0,173.58446457753655,173.84817792854363,9.764258001829619,20.0,0.48821290009148094,1.0,0.08,1.0,1.9958283111147572,1.998907256079001,2.097278942240793,0.00894086754167489,0.06087557807205257,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,19,A,100,0,41,0.41,100,1.0,27.206921181467333,26.54367958709373,8.945111858954467,20.0,0.4472555929477234,1.0,0.41,1.0,1.935554524518553,1.9760832168133544,2.0467286167576417,0.0628795481366845,0.008927284543312375,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,19,B,100,0,8,0.08,100,1.0,172.90594146755654,173.14873352226445,9.77957969161179,20.0,0.4889789845805895,1.0,0.08,1.0,2.0092232543769137,2.0000000000000213,2.1759686717287923,0.008927284543312375,0.0628795481366845,0.5555555555555556,1
